Region,InitPop
ADANA,5128
ADIYAMAN,464
AFYONKARAHISAR,250
AGRI,0
AKSARAY,0
AMASYA,0
ANKARA,2011
ANTALYA,0
ARDAHAN,24
ARTVIN,14
AYDIN,0
BALIKESIR,0
BARTIN,0
BATMAN,320
BAYBURT,26
BILECIK,0
BINGOL,0
BITLIS,0
BOLU,90
BURDUR,181
BURSA,3685
CANAKKALE,0
CANKIRI,0
CORUM,0
DENIZLI,281
DIYARBAKIR,491
DUZCE,0
EDIRNE,0
ELAZIG,264
ERZINCAN,0
ERZURUM,0
ESKISEHIR,0
GAZIANTEP,9253
GIRESUN,0
GUMUSHANE,0
HAKKARI,0
HATAY,8677
IGDIR,15
ISPARTA,0
ISTANBUL,10840
IZMIR,2996
KAHRAMANMARAS,1918
KARABUK,0
KARAMAN,0
KARS,0
KASTAMONU,0
KAYSERI,1669
KILIS,2149
KIRIKKALE,0
KIRKLARELI,0
KIRSEHIR,0
KOCAELI,1132
KONYA,2472
KUTAHYA,0
MALATYA,640
MANISA,284
MARDIN,1835
MERSIN,4855
MUGLA,233
MUS,0
NEVSEHIR,275
NIGDE,0
ORDU,0
OSMANIYE,855
RIZE,0
SAKARYA,314
SAMSUN,0
SANLIURFA,8602
SIIRT,0
SINOP,0
SIRNAK,298
SIVAS,0
TEKIRDAG,252
TOKAT,0
TRABZON,0
TUNCELI,14
USAK,0
VAN,0
YALOVA,0
YOZGAT,0
ZONGULDAK,0
