Region,RefPop
ADANA,20
ADIYAMAN,6
AFYONKARAHISAR,0
AGRI,0
AKSARAY,0
AMASYA,0
ANKARA,0
ANTALYA,0
ARDAHAN,4
ARTVIN,0
AYDIN,0
BALIKESIR,125
BARTIN,0
BATMAN,0
BAYBURT,0
BILECIK,0
BINGOL,0
BITLIS,151
BOLU,0
BURDUR,0
BURSA,3
CANAKKALE,0
CANKIRI,120
CORUM,0
DENIZLI,0
DIYARBAKIR,0
DUZCE,0
EDIRNE,0
ELAZIG,0
ERZINCAN,0
ERZURUM,0
ESKISEHIR,0
GAZIANTEP,7
GIRESUN,0
GUMUSHANE,0
HAKKARI,0
HATAY,2146
IGDIR,0
ISPARTA,0
ISTANBUL,1028
IZMIR,49
KAHRAMANMARAS,46
KARABUK,0
KARAMAN,423
KARS,4
KASTAMONU,115
KAYSERI,0
KILIS,2086
KIRIKKALE,0
KIRKLARELI,0
KIRSEHIR,0
KOCAELI,704
KONYA,0
KUTAHYA,0
MALATYA,0
MANISA,157
MARDIN,0
MERSIN,413
MUGLA,0
MUS,147
NEVSEHIR,0
NIGDE,0
ORDU,0
OSMANIYE,0
RIZE,0
SAKARYA,0
SAMSUN,0
SANLIURFA,4
SIIRT,0
SINOP,0
SIRNAK,0
SIVAS,0
TEKIRDAG,0
TOKAT,0
TRABZON,0
TUNCELI,0
USAK,0
VAN,0
YALOVA,0
YOZGAT,0
ZONGULDAK,0
