Origin,Destination,Number
IMAMOGLU,SARICAM,17
ALADAG,SARICAM,17
CEYHAN,SARICAM,17
FEKE,TUFANBEYLI,17
KARAISALI,SARICAM,17
KARATAS,SARICAM,17
KOZAN,SARICAM,17
POZANTI,SARICAM,17
SAIMBEYLI,TUFANBEYLI,17
SARICAM,KILIS,17
SEYHAN,SARICAM,17
TUFANBEYLI,SAIMBEYLI,17
CUKUROVA,SARICAM,17
YUREGIR,SARICAM,17
YUMURTALIK,ALTINOZU,17
ADIYAMAN,KILIS,2
BESNI,NIZIP,2
CELIKHAN,YESILYURT,2
GERGER,HARRAN,2
GOLBASI,KILIS,2
KAHTA,HARRAN,2
SINCIK,HARRAN,2
SAMSAT,KILIS,2
TUT,KILIS,2
SEREFLIKOCHISAR,EVREN,4
AKYURT,KALECIK,4
ALTINDAG,KALECIK,4
CAMLIDERE,CUBUK,4
CANKAYA,KALECIK,4
AYAS,KALECIK,4
BALA,CUBUK,4
BEYPAZARI,KALECIK,4
ELMADAG,KALECIK,4
ETIMESGUT,CUBUK,4
EVREN,BALA,4
GUDUL,CUBUK,4
HAYMANA,CUBUK,4
KAHRAMANKAZAN,KALECIK,4
KALECIK,CUBUK,4
KECIOREN,KALECIK,4
KIZILCAHAMAM,CUBUK,4
MAMAK,KALECIK,4
NALLIHAN,CUBUK,4
POLATLI,KALECIK,4
PURSAKLAR,KALECIK,4
SINCAN,CUBUK,4
CUBUK,KALECIK,4
YENIMAHALLE,KALECIK,4
BATMAN,DARGECIT,0
BATMAN,MIDYAT,1
BESIRI,MIDYAT,2
GERCUS,MIDYAT,2
HASANKEYF,MIDYAT,2
KOZLUK,TUZLUCA,2
SASON,KARAKOYUNLU,2
INEGOL,BEYKOZ,10
IZNIK,SILE,10
BUYUKORHAN,SILE,10
GEMLIK,BEYKOZ,10
GURSU,BEYKOZ,10
HARMANCIK,SILE,10
KARACABEY,SILE,10
KELES,SILE,10
KESTEL,BEYKOZ,10
MUDANYA,BEYKOZ,10
MUSTAFAKEMALPASA,SILE,10
NILUFER,SILE,10
ORHANELI,SILE,10
ORHANGAZI,BEYKOZ,10
OSMANGAZI,BEYKOZ,10
YENISEHIR,BEYKOZ,10
YILDIRIM,BEYKOZ,10
BISMIL,DARGECIT,1
BAGLAR,HARRAN,1
DICLE,KARAKOYUNLU,1
EGIL,KARAKOYUNLU,1
ERGANI,HARRAN,1
CERMIK,HARRAN,1
HANI,KARAKOYUNLU,1
HAZRO,TUZLUCA,1
CINAR,EYYUBIYE,1
KAYAPINAR,EYYUBIYE,0
KOCAKOY,KARAKOYUNLU,1
KULP,TUZLUCA,1
LICE,TUZLUCA,0
CUNGUS,HARRAN,1
SILVAN,TUZLUCA,1
SUR,KARAKOYUNLU,0
AGIN,YESILYURT,1
ALACAKAYA,KARS,1
ARICAK,KARS,1
BASKIL,YESILYURT,1
ELAZIG,AKYAKA,1
KARAKOCAN,AKYAKA,1
KEBAN,YESILYURT,1
KOVANCILAR,KARS,1
MADEN,AKYAKA,1
PALU,KARS,1
SIVRICE,AKYAKA,1
SAHINBEY,NIZIP,51
SEHITKAMIL,NIZIP,51
ISLAHIYE,KILIS,51
ARABAN,NIZIP,51
KARKAMIS,KILIS,12
KARKAMIS,NIZIP,38
NIZIP,KILIS,40
NURDAGI,NIZIP,51
OGUZELI,NIZIP,51
YAVUZELI,NIZIP,51
ISKENDERUN,NIZIP,28
ALTINOZU,YAYLADAGI,178
ANTAKYA,YAYLADAGI,28
ARSUZ,YAYLADAGI,28
BELEN,YAYLADAGI,28
DEFNE,YAYLADAGI,28
DORTYOL,NIZIP,28
ERZIN,NIZIP,28
HASSA,NIZIP,28
KIRIKHAN,NIZIP,28
KUMLU,NIZIP,28
PAYAS,NIZIP,28
REYHANLI,YAYLADAGI,178
SAMANDAG,YAYLADAGI,28
YAYLADAGI,ALTINOZU,178
SISLI,SILE,13
SILE,BEYKOZ,13
ADALAR,SILE,13
ARNAVUTKOY,BEYKOZ,13
ATASEHIR,SILE,13
CATALCA,BEYKOZ,13
AVCILAR,BEYKOZ,13
BASAKSEHIR,BEYKOZ,13
BAGCILAR,SILE,13
BAHCELIEVLER,SILE,13
BAKIRKOY,SILE,13
BAYRAMPASA,SILE,13
BESIKTAS,SILE,13
BEYKOZ,SILE,13
BEYLIKDUZU,BEYKOZ,13
BEYOGLU,SILE,13
BUYUKCEKMECE,BEYKOZ,13
CEKMEKOY,SILE,13
ESENLER,SILE,13
ESENYURT,BEYKOZ,13
