;2016;;;;;;;;;;;;;;2017;;;;;;;;;;;;;Since Jan 2016
Governorate;January;February;March;April;May;June;July;August;September;October;November;December;Total 2016;;January;February;March;April;May;June;July;August;September;October;November;December;Total 2017;Total
Aleppo; 134.951 ; 93.867 ; 26.346 ; 78.044 ; 30.378 ; 52.616 ; 51.335 ; 105.490 ; 41.070 ; 28.030 ; 57.902 ; 121.720 ; 821.749 ;; 32.319 ;;;;;;;;;;;; 32.319 ; 854.068 
Al-Hasakeh; 4.181 ; 10.701 ; 5.544 ; 6.414 ; 1.764 ; 2.407 ; 1.932 ; 11.315 ; 1.993 ; 5.834 ; 4.388 ; 3.028 ; 59.501 ;; 1.885 ;;;;;;;;;;;; 1.885 ; 61.386 
Ar-Raqqa; 4.275 ; 4.853 ; 11.864 ; 8.140 ; 2.402 ; 3.637 ; 2.585 ; 2.124 ; 6.933 ; 1.434 ; 6.329 ; 10.738 ; 65.314 ;; 6.294 ;;;;;;;;;;;; 6.294 ; 71.608 
As-Sweida; 449 ; 1.075 ; 782 ; 181 ; 3.087 ; 833 ; 842 ; 926 ; 1.090 ; 1.170 ; 1.199 ; 1.199 ; 12.833 ;; 520 ;;;;;;;;;;;; 520 ; 13.353 
Damascus; 1.767 ; 1.955 ; 1.507 ; 1.436 ; 75 ; 10 ; 3.507 ; 4.186 ; 2.561 ; 2.395 ; 2.478 ; 2.702 ; 24.579 ;; 2.521 ;;;;;;;;;;;; 2.521 ; 27.100 
Dar'a; 41.669 ; 67.008 ; 22.342 ; 19.185 ; 20.065 ; 6.661 ; 10.130 ; 7.696 ; 7.495 ; 10.184 ; 2.825 ; 6.702 ; 221.962 ;; 7.822 ;;;;;;;;;;;; 7.822 ; 229.784 
Deir-ez-Zor; 18.379 ; 7.757 ; 5.084 ; 2.297 ; 1.832 ; 1.689 ; 2.163 ; 881 ; 809 ; 718 ; 539 ; 596 ; 42.744 ;; 1.531 ;;;;;;;;;;;; 1.531 ; 44.275 
Hama; 5.401 ; 1.603 ; 2.029 ; 1.203 ; 5.182 ; 3.102 ; 1.395 ; 591 ; 19.756 ; 6.754 ; 4.514 ; 416 ; 51.946 ;; 1.956 ;;;;;;;;;;;; 1.956 ; 53.902 
Homs; 2.118 ; 19.306 ; 7.880 ; 2.041 ; 3.490 ; 8.013 ; 9.052 ; 6.114 ; 1.822 ; 1.345 ; 1.024 ; 983 ; 63.188 ;; 2.616 ;;;;;;;;;;;; 2.616 ; 65.804 
Idleb; 38.093 ; 54.906 ; 31.805 ; 18.793 ; 39.783 ; 41.827 ; 55.278 ; 73.365 ; 73.016 ; 25.983 ; 45.086 ; 30.661 ; 528.596 ;; 21.319 ;;;;;;;;;;;; 21.319 ; 549.915 
Lattakia; 654 ; 1.035 ; 2.280 ; 1.135 ;; 245 ; 1.117 ; 1.984 ; 2.024 ; 1.499 ; 2.837 ; 892 ; 15.702 ;; 929 ;;;;;;;;;;;; 929 ; 16.631 
Quneitra; 35 ; 430 ; 615 ; 214 ; 193 ; 569 ; 45 ; 655 ; 712 ; 3.400 ; 82 ; 57 ; 7.007 ;; 554 ;;;;;;;;;;;; 554 ; 7.561 
Rural Damascus; 18.103 ; 10.626 ; 7.686 ; 5.793 ; 20.269 ; 6.194 ; 24.879 ; 15.475 ; 2.848 ; 4.127 ; 2.047 ; 807 ; 118.854 ;; 31.866 ;;;;;;;;;;;; 31.866 ; 150.720 
Tartous;;;; 5.040 ; 327 ; 825 ; 653 ; 1.209 ; 1.655 ; 1.667 ; 2.427 ; 551 ; 14.354 ;; 657 ;;;;;;;;;;;; 657 ; 15.011 
Grand Total; 270.075 ; 275.122 ; 125.764 ; 149.916 ; 128.847 ; 128.628 ; 164.913 ; 232.011 ; 163.784 ; 94.540 ; 133.677 ; 181.052 ; 2.048.329 ;; 112.789 ;;;;;;;;;;;; 112.789 ; 2.161.118 
