From;Aleppo;Al-Hasakeh;Ar-Raqqa;As-Sweida;Damascus;Dar'a;Deir-ez-Zor;Hama;Homs;Idleb;Lattakia;Quneitra;Rural Damascus;Tartous;Total;
Aleppo; 17.594 ; 415 ; 16.678 ;; 17 ;; 10 ; 162 ;; 3.802 ;;; 17 ; 105 ; 38.800 ;Aleppo
Al-Hasakeh;; 6.174 ;;; 102 ;; 71 ;; 39 ;;;;; 24 ; 6.409 ;Al-Hasakeh
Ar-Raqqa; 1.469 ; 1.451 ; 87.885 ;;;; 1.446 ; 285 ; 26 ; 933 ;;; 2.935 ;; 96.430 ;Ar-Raqqa
As-Sweida;;;; 544 ;;;;;;;;;;; 544 ;As-Sweida
Damascus;;;; 92 ; 1.045 ;;;;; 8 ;;; 406 ; 66 ; 1.617 ;Damascus
Dar'a;;;; 274 ;; 12.858 ;;;; 38 ;; 419 ; 31 ;; 13.620 ;Dar'a
Deir-ez-Zor;; 2.222 ;; 55 ; 106 ;; 2.065 ;;; 93 ;;;; 38 ; 4.580 ;Deir-ez-Zor
Hama; 190 ;; 2 ;; 6 ;;; 273 ; 34 ; 3.732 ; 109 ;; 4 ; 92 ; 4.443 ;Hama
Homs; 3.689 ;;; 14 ; 2 ;;; 195 ; 314 ; 2.643 ;;; 31 ; 11 ; 6.898 ;Homs
Idleb; 9.330 ;;; 9 ; 29 ;;; 1.035 ; 11.000 ; 41.852 ; 3.059 ;; 1.263 ; 721 ; 68.298 ;Idleb
Lattakia;;;;;;;;;; 1.170 ; 1.436 ;;; 239 ; 2.845 ;Lattakia
Quneitra;;;;;;;;;;;; 5.728 ;;; 5.728 ;Quneitra
Rural Damascus;;;; 250 ; 193 ;;;;; 8.080 ; 57 ; 116 ; 1.603 ; 18 ; 10.317 ;Rural Damascus
Tartous;;;;; 580 ;;;;;;;;; 1.068 ; 1.647 ;Tartous
Total; 32.271 ; 10.262 ; 104.566 ; 1.239 ; 2.078 ; 12.858 ; 3.592 ; 1.949 ; 11.414 ; 62.350 ; 4.662 ; 6.262 ; 6.291 ; 2.382 ; 262.176 ;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
