Region,InitPop
A'rima,20992
A'zaz,20992
Abu Kamal,2850
Abu Qalqal,20992
Abul Thohur,18835
Afrin,20992
Aghtrin,20992
Ain al Arab,20992
Al-Butayhah,1103
Al-Haffa,690
Al-Hasakeh,3461
Al-Khafsa,20992
Al-Khashniyyeh,1103
Al-Malikeyyeh,3461
Al-Qardaha,690
Al-Qusayr,2501
Al-Thawrah,7351
Al Bab,20992
Al Makhrim,2501
Al Mayadin,2850
Al Qutayfah,4025
Amuda,3461
An Nabk,4025
Anaza,498
Ar-Ra'ee,20992
Ar-Raqqa,7351
Ar-Rastan,2501
Arbin,4025
Areesheh,3461
Ariha,18835
Ariqa,995
Armanaz,18835
Arwad,498
As-Saan,2177
As-Safira,20992
As-Salamiyeh,2177
As-Sanamayn,13356
As-Suqaylabiyah,2177
As-Sweida,995
Ash-Shajara,13356
Ashara,2850
At Tall,4025
Atareb,20992
Az-Zabdani,4025
Babella,4025
Badama,18835
Bahlolieh,690
Bait Jan,4025
Banan,20992
Banyas,498
Baramanet Elmashayekh,498
Bariqiyeh,498
Basira,2850
Be'r Al-Hulo Al-Wardeyyeh,3461
Beit Yashout,690
Bennsh,18835
Bulbul,20992
Busra Esh-Sham,13356
Da'el,13356
Dalyeh,690
Damascus,30393
Dana,18835
Dar'a,13356
Darbasiyah,3461
Daret Azza,20992
Darkosh,18835
Dayr Hafir,20992
Deir-ez-Zor,2850
Deir Attiyeh,4025
Dhameer,4025
Dimas,4025
Dreikish,498
Duma,4025
Dweir Raslan,498
Eastern Bari,2177
Eastern Kwaires,20992
Ehsem,18835
Ein El-Bayda,690
Ein Elfijeh,4025
Ein Elniser,2501
Ein Elsharqiyeh,690
Ein Et-teeneh,690
Ein Halaqim,2177
Ein Issa,7351
Ein Shaqaq,690
Esal El-Ward,4025
Fakhura,690
Farqalas,2501
Fiq,1103
Ghabagheb,13356
Ghandorah,20992
Gharyeh,995
Ghizlaniyyeh,4025
Hadher,20992
Hadideh,2501
Hajar Aswad,4025
Hajeb,20992
Hajin,2850
Hama,2177
Hamam Wasil,498
Hameidiyyeh,498
Hamin,498
Hamra,2177
Hanadi,690
Haran Al'awameed,4025
Harasta,4025
Harbanifse,2177
Harf Elmseitra,690
Harim,18835
Haritan,20992
Hasyaa,2501
Hawash,2501
Heish,18835
Hole,3461
Homs,2501
Hrak,13356
Idleb,18835
Izra',13356
Jablah,690
Jalaa,2850
Jandairis,20992
Janudiyeh,18835
Jarablus,20992
Jaramana,4025
Jasim,13356
Jawadiyah,3461
Jeb Ej-Jarrah,2501
Jeb Ramleh,2177
Jebel Saman,20992
Jirud,4025
Jisr-Ash-Shugur,18835
Jizeh,13356
Jneinet Raslan,498
Jobet Berghal,690
Jurneyyeh,7351
Kafr Batna,4025
Kafr Nobol,18835
Kafr Takharim,18835
Kafr Zeita,2177
Kansaba,690
Karama,7351
Kareemeh,498
Karnaz,2177
Kasab,690
Khan Arnaba,1103
Khan Shaykun,18835
Khanaser,20992
Khasham,2850
Kherbet Elma'aza,498
Kherbet Ghazala,13356
Kherbet Tin Noor,2501
Kisreh,2850
Kisweh,4025
Lattakia,690
Little Sura,995
Lower Shyookh,20992
Ma'arrat An Nu'man,18835
Ma'btali,20992
Ma'loula,4025
Maadan,7351
Maaret Tamsrin,18835
Madaya,4025
Madiq Castle,2177
Mahin,2501
Maliha,4025
Mansura,7351
Mare',20992
Markada,3461
Markaz Darayya,4025
Masaada,1103
Mashnaf,995
Mashta Elhiu,498
Maskana,20992
Masmiyyeh,13356
Masyaf,2177
Mazra'a,995
Menbij,20992
Mhambal,18835
Milh,995
Mseifra,13356
Muhasan,2850
Muhradah,2177
Mzair'a,690
Mzeireb,13356
Nabul,20992
Nashabiyeh,4025
Nasra,2501
Nawa,13356
Oj,2177
Oqeirbat,2177
Qabu,2501
Qadmous,498
Qahtaniyyeh,3461
Qarayya,995
Qaryatein,2501
Qastal Maaf,690
Qatana,4025
Qourqeena,18835
Qteilbiyyeh,690
Quamishli,3461
Qudsiya,4025
Qumseyyeh,498
Quneitra,1103
Rabee'a,690
Raheiba,4025
Raju,20992
Rankus,4025
Raqama,2501
Ras Al Ain,3461
Ras El-Khashufeh,498
Rasm Haram El-Imam,20992
Rawda,498
Sa'sa',4025
Sabe Byar,4025
Sabka,7351
Saboura,2177
Sadad,2501
Safita,498
Safsafa,498
Sahnaya,4025
Salanfa,690
Salkhad,995
Salqin,18835
Sanjar,18835
Saraqab,18835
Sarghaya,4025
Sarin,20992
Sarmin,18835
Shadadah,3461
Shahba,995
Shaqa,995
Sharan,20992
Shat-ha,2177
Sheikh Badr,498
Sheikh El-Hadid,20992
Sheikh Miskine,13356
Shin,2501
Sibbeh,498
Sidnaya,4025
Sisniyyeh,498
Soda Khawabi,498
Sokhneh,2501
Suluk,7351
Sur,2850
Suran,20992
Sawran,2177
Susat,2850
Tabni,2850
Tadaf,20992
Tadmor,2501
Tal Hmis,3461
Tal Tamer,3461
Talbiseh,2501
Taldu,2501
Taleen,498
Tall Ed-daman,20992
Tall Kalakh,2501
Tall Refaat,20992
Tamanaah,18835
Tartous,498
Tassil,13356
Tawahin,498
Teftnaz,18835
Tell Abiad,7351
Tell Salhib,2177
Thiban,2850
Thibeen,995
Wadi El-oyoun,2177
Ya'robiyah,3461
Yabroud,4025
Zarbah,20992
Ziyara,2177
