D_Governorate;D_GPCODE;D_District;D_DPCODE;D_Sub_District;D_SD_PCODE;D_Community;D_CPCODE;IDP_Flow_Estimation
Damascus;SY01;Damascus;SY0100;Damascus;SY010000;Damascus;C1001;7853
Aleppo;SY02;Jebel Saman;SY0200;Atareb;SY020001;Tuwama;C1020;20
Aleppo;SY02;Jebel Saman;SY0200;Atareb;SY020001;Babka;C1021;15
Aleppo;SY02;Jebel Saman;SY0200;Atareb;SY020001;Atareb;C1022;50
Aleppo;SY02;Jebel Saman;SY0200;Atareb;SY020001;Oweijel;C1024;100
Aleppo;SY02;Jebel Saman;SY0200;Atareb;SY020001;Batbu;C1025;10
Aleppo;SY02;Jebel Saman;SY0200;Atareb;SY020001;Abin Samaan;C1026;35
Aleppo;SY02;Jebel Saman;SY0200;Atareb;SY020001;Big Orm;C1029;50
Aleppo;SY02;Jebel Saman;SY0200;Atareb;SY020001;Abzemo;C1030;10
Aleppo;SY02;Jebel Saman;SY0200;Atareb;SY020001;Sheikh Ali;C1031;5
Aleppo;SY02;Jebel Saman;SY0200;Atareb;SY020001;Kafr Amma;C1033;21
Aleppo;SY02;Jebel Saman;SY0200;Atareb;SY020001;Kafr Naha;C1034;120
Aleppo;SY02;Jebel Saman;SY0200;Atareb;SY020001;Kafr Karmin;C1035;5
Aleppo;SY02;Jebel Saman;SY0200;Atareb;SY020001;Kafr Naseh Elatareb;C1036;10
Aleppo;SY02;Jebel Saman;SY0200;Atareb;SY020001;Kafr Taal;C1037;10
Aleppo;SY02;Jebel Saman;SY0200;Atareb;SY020001;Maaret Atarib;C1038;105
Aleppo;SY02;Jebel Saman;SY0200;Atareb;SY020001;Kafr Aleppo;C1039;60
Aleppo;SY02;Jebel Saman;SY0200;Atareb;SY020001;Western Kafr Jum;C1040;15
Aleppo;SY02;Jebel Saman;SY0200;Atareb;SY020001;Kafr Thoran;C1041;55
Aleppo;SY02;Jebel Saman;SY0200;Daret Azza;SY020004;Daret Azza;C1139;45
Aleppo;SY02;Jebel Saman;SY0200;Daret Azza;SY020004;Anjara;C1144;36
Aleppo;SY02;Jebel Saman;SY0200;Daret Azza;SY020004;Bishqatine;C1145;15
Aleppo;SY02;Jebel Saman;SY0200;Daret Azza;SY020004;Hoteh;C1146;24
Aleppo;SY02;Jebel Saman;SY0200;Daret Azza;SY020004;Bsartun;C1147;30
Aleppo;SY02;Jebel Saman;SY0200;Daret Azza;SY020004;Majbineh;C1148;20
Aleppo;SY02;Jebel Saman;SY0200;Daret Azza;SY020004;Kafrantin;C1149;15
Aleppo;SY02;Jebel Saman;SY0200;Zarbah;SY020005;Tal Heddiyeh;C1158;535
Aleppo;SY02;Jebel Saman;SY0200;Zarbah;SY020005;Jeb Kas;C1166;750
Aleppo;SY02;Jebel Saman;SY0200;Zarbah;SY020005;Hawir Elis;C1172;30
Aleppo;SY02;Jebel Saman;SY0200;Zarbah;SY020005;Qamari;C1174;75
Aleppo;SY02;Jebel Saman;SY0200;Zarbah;SY020005;Kusniya;C1175;215
Aleppo;SY02;Jebel Saman;SY0200;Hadher;SY020006;Tal Dadine;C1180;30
Aleppo;SY02;Jebel Saman;SY0200;Hadher;SY020006;Hadher;C1182;180
Aleppo;SY02;Al Bab;SY0202;Al Bab;SY020200;Sosyan;C1187;6500
Aleppo;SY02;Al Bab;SY0202;Al Bab;SY020200;Hazwan;C1191;3600
Aleppo;SY02;Al Bab;SY0202;Al Bab;SY020200;Borj;C1192;30
Aleppo;SY02;Al Bab;SY0202;Al Bab;SY020200;Maqri;C1193;1000
Aleppo;SY02;Al Bab;SY0202;Al Bab;SY020200;Sheikh Jarrah;C1195;20
