D_Governorate;D_GPCODE;D_District;D_DPCODE;D_Sub_District;D_SD_PCODE;D_Community;D_CPCODE;IDP_Flow_Estimation
Aleppo;SY02;Afrin;SY0203;Afrin;SY020300;Afrin;C1366;37
Aleppo;SY02;Afrin;SY0203;Afrin;SY020300;Ziyara Afrin;C1358;30
Aleppo;SY02;Afrin;SY0203;Afrin;SY020300;Abin - Efrin;C1353;115
Aleppo;SY02;Afrin;SY0203;Bulbul;SY020301;Bulbul;C1391;25
Aleppo;SY02;Afrin;SY0203;Jandairis;SY020302;Bayada - Jendris;C1434;18
Aleppo;SY02;Afrin;SY0203;Jandairis;SY020302;Jandairis;C1426;99
Aleppo;SY02;Afrin;SY0203;Jandairis;SY020302;Koran Jandris;C1447;39
Aleppo;SY02;Afrin;SY0203;Jandairis;SY020302;Jalma;C1424;77
Aleppo;SY02;Afrin;SY0203;Jandairis;SY020302;Tal Hamo;C1430;80
Aleppo;SY02;Afrin;SY0203;Jandairis;SY020302;Deir Ballut;C1435;30
Aleppo;SY02;Afrin;SY0203;Jandairis;SY020302;Tal Slur;C1433;12
Aleppo;SY02;Afrin;SY0203;Ma'btali;SY020306;Jazruniyeh;C1551;10
Aleppo;SY02;Afrin;SY0203;Ma'btali;SY020306;Ma'btali;C1552;45
Aleppo;SY02;Afrin;SY0203;Ma'btali;SY020306;Sherkan - Sherkanli;C1540;41
Aleppo;SY02;Afrin;SY0203;Ma'btali;SY020306;Yakhur - Ayki Yakhur;C1555;72
Aleppo;SY02;Afrin;SY0203;Ma'btali;SY020306;Awlad El Arab - Arab Oshagi;C1548;37
Aleppo;SY02;Afrin;SY0203;Ma'btali;SY020306;Anbar;C1549;23
Aleppo;SY02;Afrin;SY0203;Ma'btali;SY020306;Smal;C1550;6
Aleppo;SY02;Afrin;SY0203;Ma'btali;SY020306;Shorba;C1539;23
Aleppo;SY02;Afrin;SY0203;Raju;SY020303;Beit Adin;C1473;34
Aleppo;SY02;Afrin;SY0203;Raju;SY020303;Maamel - Oshagi;C1457;23
Aleppo;SY02;Ain Al Arab;SY0206;Ain al Arab;SY020600;Ain Al Arab;C1946;20
Aleppo;SY02;Ain Al Arab;SY0206;Sarin;SY020602;Sarin;C2074;55
Aleppo;SY02;Al Bab;SY0202;Al Bab;SY020200;Borj;C1192;35
Aleppo;SY02;Al Bab;SY0202;Al Bab;SY020200;Qabasin;C1209;1075
Aleppo;SY02;Al Bab;SY0202;Al Bab;SY020200;Sheikh Elwan;C1196;30
Aleppo;SY02;Al Bab;SY0202;Al Bab;SY020200;Sheikh Jarrah;C1195;25
Aleppo;SY02;Al Bab;SY0202;Al Bab;SY020200;Bazagha;C1188;1200
Aleppo;SY02;Al Bab;SY0202;Al Bab;SY020200;Qemmet Daghelbash;C1208;60
Aleppo;SY02;Al Bab;SY0202;Al Bab;SY020200;Waqqah;C1212;100
Aleppo;SY02;Al Bab;SY0202;A'rima;SY020206;Barshaya;C1346;25
Aleppo;SY02;Al Bab;SY0202;A'rima;SY020206;Big Sukariyeh;C1339;175
Aleppo;SY02;Al Bab;SY0202;A'rima;SY020206;Jeb Naassan;C1337;180
Aleppo;SY02;Al Bab;SY0202;A'rima;SY020206;Little Sukariyeh;C1322;100
Aleppo;SY02;Al Bab;SY0202;A'rima;SY020206;Wadi - Little Jqal;C1334;100
Aleppo;SY02;Al Bab;SY0202;A'rima;SY020206;Um Adae Ajami ;C1342;100
Aleppo;SY02;Al Bab;SY0202;A'rima;SY020206;Shdar;C1343;82
Aleppo;SY02;Al Bab;SY0202;A'rima;SY020206;Tarhin;C1345;110
Aleppo;SY02;Al Bab;SY0202;A'rima;SY020206;Um Shakif;C1341;250
Aleppo;SY02;Al Bab;SY0202;Ar-Ra'ee;SY020203;Ar-Ra'ee;C1250;100
Aleppo;SY02;Al Bab;SY0202;Ar-Ra'ee;SY020203;Ayyasha;C1270;25
Aleppo;SY02;Al Bab;SY0202;Ar-Ra'ee;SY020203;Haji Kusa;C1253;25
Aleppo;SY02;Al Bab;SY0202;Ar-Ra'ee;SY020203;Hleisa;C1251;50
Aleppo;SY02;Al Bab;SY0202;Ar-Ra'ee;SY020203;Nahda;C1257;25
Aleppo;SY02;Al Bab;SY0202;Ar-Ra'ee;SY020203;Qantaret Elbab;C1275;36
Aleppo;SY02;Al Bab;SY0202;Ar-Ra'ee;SY020203;Shawa;C1255;20
Aleppo;SY02;Al Bab;SY0202;Ar-Ra'ee;SY020203;Tal Atieh;C1271;25
Aleppo;SY02;Al Bab;SY0202;Ar-Ra'ee;SY020203;Tal Mizab;C1258;42
Aleppo;SY02;Al Bab;SY0202;Ar-Ra'ee;SY020203;Tlilet Elbab;C1263;50
Aleppo;SY02;Al Bab;SY0202;Ar-Ra'ee;SY020203;Waqf;C1247;32
Aleppo;SY02;Al Bab;SY0202;Ar-Ra'ee;SY020203;Zyaret Elbab;C1268;20
Aleppo;SY02;Al Bab;SY0202;Ar-Ra'ee;SY020203;Haji Wali;C1252;30
Aleppo;SY02;As-Safira;SY0207;As-Safira;SY020700;Tal Aran;C2137;0
Aleppo;SY02;As-Safira;SY0207;As-Safira;SY020700;As-Safira;C2154;0
Aleppo;SY02;As-Safira;SY0207;Hajeb;SY020703;Maktaba;C2207;20
Aleppo;SY02;A'zaz;SY0204;Aghtrin;SY020401;Akhtrein;C1581;200
Aleppo;SY02;A'zaz;SY0204;Aghtrin;SY020401;Baruz;C1582;25
Aleppo;SY02;A'zaz;SY0204;Aghtrin;SY020401;Bayada - Aq Burhan;C1580;5
Aleppo;SY02;A'zaz;SY0204;Aghtrin;SY020401;Dabeq;C1597;25
Aleppo;SY02;A'zaz;SY0204;Aghtrin;SY020401;Eastern Tal Battal;C1601;25
Aleppo;SY02;A'zaz;SY0204;Aghtrin;SY020401;Ghaytun;C1614;30
Aleppo;SY02;A'zaz;SY0204;Aghtrin;SY020401;Gheilaniyeh;C1608;15
Aleppo;SY02;A'zaz;SY0204;Aghtrin;SY020401;Khalfatli;C1576;30
Aleppo;SY02;A'zaz;SY0204;Aghtrin;SY020401;Qaar Kalbein;C1616;15
Aleppo;SY02;A'zaz;SY0204;Aghtrin;SY020401;Teltana;C1606;15
Aleppo;SY02;A'zaz;SY0204;Aghtrin;SY020401;Wash;C1615;35
Aleppo;SY02;A'zaz;SY0204;A'zaz;SY020400;Azaz;C1564;1313
Aleppo;SY02;A'zaz;SY0204;A'zaz;SY020400;Kafr Kalbein;C1568;288
Aleppo;SY02;A'zaz;SY0204;A'zaz;SY020400;Kaljibrin;C1575;161
Aleppo;SY02;A'zaz;SY0204;A'zaz;SY020400;Krum;C1565;569
Aleppo;SY02;A'zaz;SY0204;A'zaz;SY020400;Maarin;C1574;292
Aleppo;SY02;A'zaz;SY0204;A'zaz;SY020400;Nayara;C1573;140
Aleppo;SY02;A'zaz;SY0204;A'zaz;SY020400;Salama;C1561;886
Aleppo;SY02;A'zaz;SY0204;A'zaz;SY020400;Shamarin;C1566;50
Aleppo;SY02;A'zaz;SY0204;A'zaz;SY020400;Shmarekh;C1557;50
Aleppo;SY02;A'zaz;SY0204;A'zaz;SY020400;Talil Elsham;C1559;20
Aleppo;SY02;A'zaz;SY0204;A'zaz;SY020400;Ferziyeh;C1560;25
Aleppo;SY02;A'zaz;SY0204;A'zaz;SY020400;Yahmul;C1571;100
Aleppo;SY02;A'zaz;SY0204;A'zaz;SY020400;Bab Alsalameh;C6669;375
Aleppo;SY02;A'zaz;SY0204;A'zaz;SY020400;Tatiyeh;C1558;50
Aleppo;SY02;A'zaz;SY0204;A'zaz;SY020400;Niddeh ;C1572;25
Aleppo;SY02;A'zaz;SY0204;Mare';SY020403;Asanbal;C1629;10
Aleppo;SY02;A'zaz;SY0204;Mare';SY020403;Hiwar Elnahr;C1636;30
Aleppo;SY02;A'zaz;SY0204;Mare';SY020403;Kafr Elward;C1642;15
Aleppo;SY02;A'zaz;SY0204;Mare';SY020403;Mare';C1643;25
Aleppo;SY02;A'zaz;SY0204;Mare';SY020403;Tal Maled;C6418;20
Aleppo;SY02;A'zaz;SY0204;Suran;SY020405;Hiwar Kalas;C1661;125
Aleppo;SY02;A'zaz;SY0204;Suran;SY020405;Suran;C1664;450
Aleppo;SY02;A'zaz;SY0204;Suran;SY020405;Zayzafun - Ekdeh;C1658;450
Aleppo;SY02;A'zaz;SY0204;Suran;SY020405;Qazal;C6421;75
Aleppo;SY02;A'zaz;SY0204;Suran;SY020405;Rael;C1665;75
Aleppo;SY02;Jarablus;SY0208;Ghandorah;SY020801;Kuliyeh;C2247;65
Aleppo;SY02;Jarablus;SY0208;Ghandorah;SY020801;Little Arab Hasan;C2256;35
Aleppo;SY02;Jarablus;SY0208;Ghandorah;SY020801;Ghandorah;C2250;350
Aleppo;SY02;Jarablus;SY0208;Ghandorah;SY020801;Big Nabgha;C2264;50
Aleppo;SY02;Jarablus;SY0208;Ghandorah;SY020801;Big Qantara;C2267;15
Aleppo;SY02;Jarablus;SY0208;Ghandorah;SY020801;Tal Elhajar - Tal Elahamar;C2244;50
Aleppo;SY02;Jarablus;SY0208;Ghandorah;SY020801;Ghassaniyeh - Jrables;C2251;24
Aleppo;SY02;Jarablus;SY0208;Ghandorah;SY020801;Sweida - Qorret Tashli;C2259;45
