From;Aleppo;Al-Hasakeh;Ar-Raqqa;As-Sweida;Damascus;Dar'a;Deir-ez-Zor;Hama;Homs;Idleb;Lattakia;Quneitra;Rural Damascus;Tartous;Total
Aleppo; 148.593 ; 1.522 ; 3.875 ;; 14 ;; 21 ; 77 ; 27 ; 7.136 ;;; 123 ; 71 ; 161.459 
Al-Hasakeh; 83 ; 554 ;; 15 ; 45 ;; 119 ;; 16 ;;;;; 4 ; 836 
Ar-Raqqa; 1.343 ; 4.426 ; 33.641 ; 25 ; 3 ;; 752 ; 105 ;; 330 ;;; 250 ;; 40.875 
As-Sweida;;;; 87 ;;; 18 ;;;;;;;; 105 
Damascus; 186 ;;; 185 ; 2.514 ;;; 198 ;; 552 ; 35 ;; 13.290 ; 29 ; 16.989 
Dar'a; 13 ;;; 103 ; 12 ; 50 ; 12 ;;; 102 ;;;;; 292 
Deir-ez-Zor; 775 ; 49 ;; 52 ; 48 ;; 964 ; 10 ;; 30 ; 10 ;; 25 ; 14 ; 1.977 
Hama; 82 ;;;; 101 ;;; 24.927 ; 2.272 ; 11.184 ; 250 ;;; 2.942 ; 41.758 
Homs; 3.331 ;;; 41 ; 97 ; 16 ; 8 ; 375 ; 470 ; 207 ; 20 ;;; 9 ; 4.574 
Idleb; 991 ;;; 55 ; 16 ;;; 108 ;; 4.670 ; 50 ;;; 14 ; 5.904 
Lattakia;;;;;;;;;;;;;; 44 ; 44 
Quneitra;;;; 30 ;;;;;;;;;;; 30 
Rural Damascus;;;; 40 ; 209 ; 128 ;; 35 ;; 318 ; 24 ;; 1.044 ; 15 ; 1.813 
Tartous;;;;;;;;;;; 15 ;;; 95 ; 110 
Unknown;;;;;; 24.950 ;;;;;; 3.050 ;;; 28.000 
Total; 155.397 ; 6.551 ; 37.516 ; 633 ; 3.059 ; 25.144 ; 1.894 ; 25.835 ; 2.785 ; 24.529 ; 404 ; 3.050 ; 14.732 ; 3.237 ; 304.766 
