Region,InitPop
SISLI,9100
CIGLI,3098
SILE,9100
SIRAN,0
SIRVAN,371
SABANOZU,54
SAHINBEY,31127
SALPAZARI,114
SAPHANE,50
SARKIKARAAGAC,413
SARKOY,827
SAVSAT,0
IBRADI,68
IDIL,1392
SEBINKARAHISAR,0
SEFAATLI,200
SEHITKAMIL,31127
SEHZADELER,535
CICEKDAGI,92
SEMDINLI,650
SENKAYA,32
SENPAZAR,68
SEREFLIKOCHISAR,2464
CIFTELER,232
CIFTLIK,433
CIFTLIKKOY,433
IHSANIYE,252
IHSANGAZI,68
SIRNAK,1392
IKIZCE,34
IKIZDERE,54
ILIC,0
CILIMLI,162
ILKADIM,243
IMAMOGLU,10226
IMRANLI,162
INCIRLIOVA,305
INCESU,3380
CINE,305
INEBOLU,68
INEGOL,6500
INHISAR,92
INONU,232
IPEKYOLU,118
IPSALA,72
ISCEHISAR,252
ISKILIP,162
ISKENDERUN,18546
ISLAHIYE,31127
ISPIR,32
SUHUT,252
CIVRIL,410
IVRINDI,130
IYIDERE,54
IZMIT,3087
IZNIK,6500
19 MAYIS,243
AGACOREN,243
AGIN,827
ASKALE,32
AGLASUN,520
CAGLAYANCERIT,5140
AGLI,68
AGRI,81
ABANA,68
ACIGOL,812
ACIPAYAM,410
ADILCEVAZ,92
ADAKLI,81
ADALAR,9100
ADAPAZARI,650
ADIYAMAN,1733
AFSIN,5140
AFYONKARAHISAR,252
AHIRLI,2222
AHLAT,92
AHMETLI,535
AKSEHIR,2222
AKCAABAT,114
AKCADAG,1625
AKCAKALE,22200
AKCAKENT,92
AKCAKOCA,162
AKDAGMADENI,200
AKDENIZ,10941
AKHISAR,535
AKINCILAR,162
AKKISLA,3380
AKKUS,34
AKPINAR,92
AKOREN,2222
AKSEKI,68
AKSU,68
AKYAKA,0
AKYAZI,650
AKYURT,2464
CAL,410
ALIAGA,3098
ALASEHIR,535
ALACAM,243
ALACA,162
ALACAKAYA,827
ALADAG,10226
ALANYA,68
ALAPLI,92
CALDIRAN,118
ALMUS,65
ALPU,232
ALTIEYLUL,130
ALTINDAG,2464
ALTINEKIN,2222
ALTINORDU,34
ALTINOVA,433
ALTINTAS,50
ALTINYAYLA,520
ALTINOZU,18546
ALTUNHISAR,433
ALUCRA,0
CAMAS,34
CAMARDI,433
AMASRA,0
AMASYA,92
CAMELI,410
CAMLIDERE,2464
CAMLIHEMSIN,54
CAMLIYAYLA,10941
CAMOLUK,0
CAN,325
CANAKCI,0
CANAKKALE,325
ANAMUR,10941
CANDIR,200
ANDIRIN,5140
CANKAYA,2464
CANKIRI,54
ANTAKYA,18546
CARSAMBA,243
ARIFIYE,650
CARSIBASI,114
ARAC,68
ARABAN,31127
ARAKLI,114
ARALIK,0
ARAPGIR,1625
ARDAHAN,0
CARDAK,410
ARDANUC,0
ARDESEN,54
ARGUVAN,1625
ARHAVI,0
ARICAK,827
ARMUTLU,433
ARNAVUTKOY,9100
ARPACAY,0
ARSIN,114
ARSUZ,18546
ARTOVA,65
ARTUKLU,5655
ARTVIN,0
ASARCIK,243
ASLANAPA,50
CAT,32
ATASEHIR,9100
ATABEY,413
CATAK,118
ATAKUM,243
CATALCA,9100
CATALPINAR,34
CATALZEYTIN,68
ATKARACALAR,54
AVANOS,812
AVCILAR,9100
CAVDARHISAR,50
CAVDIR,520
CAY,252
AYAS,2464
AYANCIK,0
CAYBASI,34
AYBASTI,34
CAYCUMA,92
AYDINCIK,10941
AYDINTEPE,0
CAYELI,54
CAYIRALAN,200
CAYIRLI,0
CAYIROVA,3087
CAYKARA,114
AYRANCI,108
AYVACIK,325
AYVALIK,130
AZIZIYE,32
AZDAVAY,68
BIGA,325
BIGADIC,130
BIRECIK,22200
BISMIL,1340
BASCIFTLIK,65
BASISKELE,3087
BASAKSEHIR,9100
BAGCILAR,9100
BASKALE,118
BAGLAR,1340
BASMAKCI,252
BASYAYLA,108
BABADAG,410
BABAESKI,243
BAFRA,243
BAHSILI,144
BAHCE,4550
BAHCELIEVLER,9100
BAHCESARAY,118
BAKIRKOY,9100
BAKLAN,410
BALA,2464
BALISEYH,144
BALCOVA,3098
BALYA,130
BANAZ,260
BANDIRMA,130
BARTIN,0
BASKIL,827
BATMAN,2383
BATTALGAZI,1625
BAYAT,252
BAYBURT,0
BAYINDIR,3098
BAYKAN,371
BAYRAKLI,3098
BAYRAMIC,325
BAYRAMPASA,9100
BAYRAMOREN,54
BESIKDUZU,114
BESIKTAS,9100
BESIRI,2383
BEKILLI,410
BELEN,18546
BERGAMA,3098
BESNI,1733
BEYSEHIR,2222
BEYAGAC,410
BEYDAG,3098
BEYKOZ,9100
BEYLIKDUZU,9100
BEYLIKOVA,232
BEYOGLU,9100
BEYPAZARI,2464
BEYTUSSEBAP,1392
BILECIK,92
BINGOL,81
BITLIS,92
BUNYAN,3380
BOGAZKALE,162
BOGAZLIYAN,200
BODRUM,750
BOLU,144
BOLVADIN,252
BOR,433
BORCKA,0
BORNOVA,3098
BOYABAT,0
BOZCAADA,325
BOZDOGAN,305
BOZKIR,2222
BOZKURT,410
BOZOVA,22200
BOZTEPE,92
BOZYAZI,10941
BOZUYUK,92
BUCA,3098
BUCAK,520
BUHARKENT,305
BULANCAK,0
BULANIK,108
BULDAN,410
BURDUR,520
BURHANIYE,130
BUYUKCEKMECE,9100
BUYUKORHAN,6500
CIDE,68
CIHANBEYLI,2222
CIZRE,1392
CANIK,243
CEYHAN,10226
CEYLANPINAR,22200
CUMAYERI,162
DICLE,1340
DIDIM,305
DOSEMEALTI,68
DIGOR,0
DIKILI,3098
DIKMEN,0
DILOVASI,3087
DINAR,252
DIVRIGI,162
DIYADIN,81
DADAY,68
DALAMAN,750
DAMAL,0
DARENDE,1625
DARGECIT,5655
DARICA,3087
DATCA,750
DAZKIRI,252
DEFNE,18546
DELICE,144
ODEMIS,3098
DEMIRCI,535
DEMIRKOY,243
DEMIROZU,0
DEMRE,68
DERIK,5655
DERINCE,3087
DERINKUYU,812
DERBENT,2222
DEREBUCAK,2222
DERELI,0
DEREPAZARI,54
DERNEKPAZARI,114
DEVELI,3380
DEVREK,92
DEVREKANI,68
DOGANSAR,162
DOGANSEHIR,1625
DOGANHISAR,2222
DOGANKENT,0
DOGANYOL,1625
DOGANYURT,68
DOGUBAYAZIT,81
DODURGA,162
DOMANIC,50
DORTDIVAN,144
DORTYOL,18546
DULKADIROGLU,5140
DUMLUPINAR,50
DURAGAN,0
DURSUNBEY,130
DUZICI,4550
DUZCE,162
DUZKOY,114
EGIL,1340
EGIRDIR,413
CESME,3098
ESME,260
ECEABAT,325
EDIRNE,72
EDREMIT,130
EFELER,305
EFLANI,130
EKINOZU,5140
CEKEREK,200
CEKMEKOY,9100
CELIKHAN,1733
ELAZIG,827
ELBISTAN,5140
ELBEYLI,18687
ELDIVAN,54
ELESKIRT,81
CELEBI,144
ELMADAG,2464
ELMALI,68
CELTIK,2222
CELTIKCI,520
CEMISGEZEK,0
EMIRDAG,252
EMIRGAZI,2222
EMET,50
ENEZ,72
ERBAA,65
ERCIS,118
ERDEK,130
ERDEMLI,10941
EREGLI,2222
ERENLER,650
ERFELEK,0
ERGANI,1340
ERGENE,827
CERKES,54
CERKEZKOY,827
CERMIK,1340
ERMENEK,108
ERUH,371
ERZIN,18546
ERZINCAN,0
ESENLER,9100
ESENYURT,9100
ESKIPAZAR,130
ESPIYE,0
ETIMESGUT,2464
EVCILER,252
EVREN,2464
EYNESIL,0
EYUPSULTAN,9100
EYYUBIYE,22200
EZINE,325
FINIKE,68
FATIH,9100
FATSA,34
FEKE,10226
FELAHIYE,3380
FERIZLI,650
FETHIYE,750
FINDIKLI,54
FOCA,3098
GAZIOSMANPASA,9100
GAZIEMIR,3098
GAZIPASA,68
GUCE,0
GUDUL,2464
GEBZE,3087
GEDIZ,50
GELIBOLU,325
GELENDOST,413
GEMEREK,162
GEMLIK,6500
GENC,81
GERCUS,2383
GEREDE,144
GERGER,1733
GERMENCIK,305
GERZE,0
GEVAS,118
GEYVE,650
GIRESUN,0
GOKCEADA,325
GOKCEBEY,92
GOKSUN,5140
GULSEHIR,812
GULAGAC,243
GOLBASI,1733
GOLCUK,3087
GOLE,0
GOLHISAR,520
GUCLUKONAK,1392
GOLKOY,34
GOLMARMARA,535
GULNAR,10941
GOLOVA,162
GOLPAZARI,92
GOLYAKA,162
GULYALI,34
GUMUSHACIKOY,92
GUMUSHANE,0
GUMUSOVA,162
GOMEC,130
GUNDOGMUS,68
GONEN,130
GUNEY,410
GUNEYSINIR,2222
GUNEYSU,54
GUNGOREN,9100
GUNYUZU,232
GORDES,535
GORELE,0
GURGENTEPE,34
GURUN,162
GUROYMAK,92
GURPINAR,118
GURSU,6500
GOYNUCEK,92
GOYNUK,144
GUZELBAHCE,3098
GUZELYURT,243
HILVAN,22200
HISARCIK,50
HIZAN,92
HACIBEKTAS,812
HACILAR,3380
HADIM,2222
HAFIK,162
HAKKARI,650
HALILIYE,22200
HALFETI,22200
HALKAPINAR,2222
HAMAMOZU,92
HAMUR,81
HAN,232
HANI,1340
HANAK,0
HANONU,68
HARMANCIK,6500
HARRAN,22200
HASANBEYLI,4550
HASANKEYF,2383
HASKOY,108
HASSA,18546
HAVRAN,130
HAVSA,72
HAVZA,243
HAYMANA,2464
HAYRABOLU,827
HAYRAT,114
HAZRO,1340
HEKIMHAN,1625
HEMSIN,54
HENDEK,650
HINIS,32
HOCALAR,252
HONAZ,410
HOPA,0
HORASAN,32
HOZAT,0
HUYUK,2222
IGDIR,0
CILDIR,0
ILGAZ,54
ILGIN,2222
CINAR,1340
CINARCIK,433
ISPARTA,413
KIGI,81
KOSK,305
KILIMLI,92
KIRAZ,3098
KAS,68
KAGITHANE,9100
KAGIZMAN,0
KABADUZ,34
KABATAS,34
KADIRLI,4550
KADISEHRI,200
KADIKOY,9100
KADINHANI,2222
KAHRAMANKAZAN,2464
KALE,410
KALECIK,2464
KALKANDERE,54
KAMAN,92
KANDIRA,3087
KANGAL,162
KAPAKLI,827
KARSIYAKA,3098
KARAISALI,10226
KARABAGLAR,3098
KARABUK,130
KARABURUN,3098
KARACABEY,6500
KARACASU,305
KARAHALLI,260
KARAKECILI,144
KARAKOCAN,827
KARAKOYUNLU,0
KARAKOPRU,22200
KARAMAN,108
KARAMANLI,520
KARAMURSEL,3087
KARACOBAN,32
KARAPINAR,2222
KARAPURCEK,650
KARASU,650
KARATAS,10226
KARATAY,2222
KARAYAZI,32
KARESI,130
KARGI,162
KARKAMIS,31127
