Origin,Destination,Number
ADANA,ADANA,124216
ADANA,GAZIANTEP,8143
ADANA,OSMANIYE,394
ADANA,HATAY,133
ADIYAMAN,MALATYA,7145
ADIYAMAN,ADIYAMAN,883
ADIYAMAN,GAZIANTEP,1483
ADIYAMAN,KAHRAMANMARAS,1733
ADIYAMAN,SANLIURFA,3466
AFYONKARAHISAR,ANKARA,3521
AFYONKARAHISAR,KONYA,756
AFYONKARAHISAR,DENIZLI,259
AGRI,KARS,567
AGRI,IGDIR,81
AKSARAY,ANKARA,486
AKSARAY,KAYSERI,486
AKSARAY,NEVSEHIR,486
AKSARAY,KONYA,486
AMASYA,SAMSUN,644
ANKARA,ANKARA,45305
ANKARA,KIRIKKALE,4985
ANKARA,BOLU,2464
ANTALYA,KONYA,953
ANTALYA,KARAMAN,3
ANTALYA,BURDUR,50
ANTALYA,ISPARTA,50
ANTALYA,MUGLA,125
ANTALYA,MERSIN,64
ANTALYA,DENIZLI,47
AYDIN,IZMIR,3108
AYDIN,MUGLA,1162
AYDIN,DENIZLI,909
AYDIN,MANISA,6
BALIKESIR,IZMIR,474
BALIKESIR,BURSA,1887
BALIKESIR,TEKIRDAG,109
BALIKESIR,MANISA,130
BATMAN,MARDIN,4671
BATMAN,BATMAN,6021
BILECIK,SAKARYA,368
BILECIK,BURSA,276
BINGOL,KARS,567
BINGOL,DIYARBAKIR,81
BITLIS,VAN,92
BITLIS,KARS,196
BITLIS,SIRNAK,264
BITLIS,BATMAN,92
BOLU,SINOP,343
BOLU,BOLU,385
BOLU,ANKARA,413
BOLU,SAKARYA,144
BURDUR,ISPARTA,2293
BURDUR,BURDUR,2053
BURDUR,MUGLA,3
BURDUR,DENIZLI,582
BURSA,BURSA,97544
BURSA,KOCAELI,19
CANAKKALE,BURSA,2987
CANAKKALE,TEKIRDAG,912
CANAKKALE,BALIKESIR,1
CANKIRI,ANKARA,101
CANKIRI,SINOP,456
CANKIRI,SAMSUN,91
CORUM,SAMSUN,1944
DENIZLI,ANKARA,410
DENIZLI,DENIZLI,6093
DENIZLI,ISPARTA,207
DENIZLI,BURDUR,195
DENIZLI,KONYA,61
DENIZLI,MANISA,6
DENIZLI,MUGLA,410
DIYARBAKIR,BATMAN,3218
DIYARBAKIR,MARDIN,1922
DIYARBAKIR,DIYARBAKIR,12243
DIYARBAKIR,ADIYAMAN,1344
DIYARBAKIR,MALATYA,1336
DUZCE,SAKARYA,648
DUZCE,BOLU,358
DUZCE,SINOP,290
EDIRNE,TEKIRDAG,648
ELAZIG,MALATYA,2836
ELAZIG,DIYARBAKIR,2537
ELAZIG,ADIYAMAN,1175
ELAZIG,ARDAHAN,29
ELAZIG,KARS,2506
ELAZIG,ERZURUM,14
ERZURUM,KARS,637
ERZURUM,ARTVIN,3
ESKISEHIR,ANKARA,1632
ESKISEHIR,SAKARYA,1159
ESKISEHIR,KIRIKKALE,201
ESKISEHIR,KONYA,256
GAZIANTEP,KILIS,838
GAZIANTEP,GAZIANTEP,217699
GAZIANTEP,MALATYA,12
GAZIANTEP,ADIYAMAN,1
HAKKARI,HAKKARI,1292
HAKKARI,SIRNAK,1300
HATAY,GAZIANTEP,110001
HATAY,OSMANIYE,561
HATAY,HATAY,150767
ISPARTA,KONYA,4469
ISPARTA,BURDUR,36
ISPARTA,ISPARTA,3
ISTANBUL,ISTANBUL,335134
ISTANBUL,TEKIRDAG,39
IZMIR,IZMIR,80127
KAHRAMANMARAS,KAHRAMANMARAS,27299
KAHRAMANMARAS,OSMANIYE,3560
KAHRAMANMARAS,HATAY,1271
KAHRAMANMARAS,GAZIANTEP,9105
KAHRAMANMARAS,ADANA,5140
KARABUK,SINOP,650
KARAMAN,KONYA,435
KARAMAN,MERSIN,211
KARAMAN,KARAMAN,1
KASTAMONU,SINOP,1224
KASTAMONU,SAMSUN,68
KAYSERI,KAYSERI,33787
KAYSERI,ADANA,13520
KILIS,GAZIANTEP,51156
KILIS,KILIS,13556
KIRIKKALE,KIRIKKALE,510
KIRIKKALE,ANKARA,341
KIRIKKALE,SAMSUN,404
KIRKLARELI,TEKIRDAG,1944
KIRSEHIR,GIRESUN,125
KIRSEHIR,ORDU,137
KIRSEHIR,SAMSUN,14
KIRSEHIR,NEVSEHIR,184
KIRSEHIR,ANKARA,184
KOCAELI,KOCAELI,18547
KOCAELI,ISTANBUL,9235
KOCAELI,SAKARYA,2
KOCAELI,BURSA,6164
KONYA,KONYA,42607
KONYA,ANKARA,14594
KONYA,MERSIN,2222
KONYA,KIRIKKALE,2171
KUTAHYA,BURSA,250
KUTAHYA,ANKARA,100
KUTAHYA,SAKARYA,208
KUTAHYA,MANISA,92
MALATYA,MALATYA,12176
MALATYA,KAHRAMANMARAS,1625
MALATYA,ADIYAMAN,1629
MANISA,IZMIR,3642
MANISA,MANISA,4868
MANISA,DENIZLI,74
MARDIN,MARDIN,22713
MARDIN,BATMAN,25429
MARDIN,SANLIURFA,5525
MARDIN,DIYARBAKIR,8
MERSIN,MERSIN,114068
MERSIN,KONYA,1
MERSIN,KARAMAN,4
MUGLA,MUGLA,7511
MUGLA,IZMIR,23
MUGLA,DENIZLI,755
MUS,KARS,648
NEVSEHIR,KAYSERI,3248
NEVSEHIR,NEVSEHIR,2436
NIGDE,KAYSERI,1299
NIGDE,ADANA,433
NIGDE,KONYA,433
NIGDE,MERSIN,433
ORDU,SAMSUN,97
ORDU,ORDU,271
ORDU,GIRESUN,265
OSMANIYE,GAZIANTEP,17342
OSMANIYE,OSMANIYE,3240
OSMANIYE,HATAY,1605
OSMANIYE,ADANA,8406
RIZE,ARTVIN,199
RIZE,KARS,449
SAKARYA,SAKARYA,6795
SAKARYA,KOCAELI,1946
SAMSUN,SAMSUN,3393
SANLIURFA,SANLIURFA,177631
SANLIURFA,GAZIANTEP,66600
SIIRT,SIRNAK,1599
SIIRT,BATMAN,682
SIIRT,MARDIN,316
SIRNAK,BATMAN,2108
SIRNAK,MARDIN,2068
SIRNAK,SIRNAK,4176
SIVAS,ARTVIN,455
SIVAS,RIZE,898
SIVAS,TRABZON,393
SIVAS,MALATYA,350
SIVAS,KAYSERI,324
SIVAS,KAHRAMANMARAS,136
SIVAS,GIRESUN,20
SIVAS,ORDU,16
TEKIRDAG,TEKIRDAG,6741
TEKIRDAG,ISTANBUL,1534
TOKAT,ORDU,290
TOKAT,GIRESUN,295
TOKAT,SAMSUN,65
TRABZON,ARTVIN,1923
TRABZON,RIZE,15
USAK,ANKARA,996
USAK,MANISA,256
USAK,DENIZLI,8
USAK,SAKARYA,40
VAN,VAN,464
VAN,KARS,236
VAN,SIRNAK,354
YALOVA,ISTANBUL,867
YALOVA,BURSA,1731
YOZGAT,NEVSEHIR,400
YOZGAT,GIRESUN,793
YOZGAT,ORDU,807
YOZGAT,KAYSERI,600
ZONGULDAK,SINOP,644
