,Region,IDPs
0,A'zaz,596
1,Afrin,704
2,Al Bab,488
3,Al-Haffa,45
4,Al-Hasakeh,271
5,Al-Malikeyyeh,232
6,Al-Qardaha,75
7,Al-Qusayr,45
8,Ar-Raqqa,65
9,Ariha,553
10,As-Suqaylabiyah,84
11,As-Sweida,542
12,Az-Zabdani,165
13,Banyas,93
14,Dar'a,81
15,Deir-ez-Zor,36
16,Dreikish,57
17,Duma,352
18,Hama,110
19,Harim,7476
20,Homs,110
21,Idleb,6255
22,Izra',34
23,Jablah,145
24,Jarablus,768
25,Jebel Saman,1442
26,Jisr-Ash-Shugur,1193
27,Lattakia,700
28,Menbij,200
29,Qadmous,40
30,Qatana,8
31,Quneitra,50
32,Rural Damascus,93
33,Safita,92
34,Sheikh Badr,15
35,Tartous,337
36,Tell Abiad,26
