,Region,IDPs
0,A'zaz,596
1,Afrin,704
2,Al Bab,488
3,Al-Haffa,45
4,Al-Hasakeh,271
5,Al-Malikeyyeh,232
6,Al-Qardaha,75
7,Al-Qusayr,45
8,Ar-Raqqa,65
9,Ariha,553
10,As-Suqaylabiyah,84
11,As-Sweida,542
12,Az-Zabdani,165
13,Banyas,93
14,Dar'a,81
15,Deir-ez-Zor,36
16,Dreikish,57
17,Duma,352
18,Hama,110
19,Harim,7476
20,Homs,110
21,Idleb,6255
22,Izra',34
23,Jablah,145
24,Jarablus,768
25,Jebel Saman,1442
26,Jisr-Ash-Shugur,1193
27,Lattakia,700
28,Menbij,200
29,Qadmous,40
30,Qatana,8
31,Quneitra,50
32,Rural Damascus,93
33,Safita,92
34,Sheikh Badr,15
35,Tartous,337
36,Tell Abiad,26
37,ADANA,256435
38,ADIYAMAN,23204
39,AFYONKARAHISAR,12531
40,ANKARA,100577
41,ARDAHAN,1240
42,ARTVIN,720
43,BATMAN,16029
44,BAYBURT,1310
45,BOLU,4512
46,BURDUR,9078
47,BURSA,184298
48,DENIZLI,14066
49,DIYARBAKIR,24552
50,ELAZIG,13244
51,GAZIANTEP,462697
52,HATAY,433875
53,IGDIR,790
54,ISTANBUL,542045
55,IZMIR,149807
56,KAHRAMANMARAS,95938
57,KAYSERI,83474
58,KILIS,107468
59,KOCAELI,56604
60,KONYA,123601
61,MALATYA,32024
62,MANISA,14238
63,MARDIN,91793
64,MERSIN,242753
65,MUGLA,11688
66,NEVSEHIR,13763
67,OSMANIYE,42768
68,SAKARYA,15744
69,SANLIURFA,430124
70,SIRNAK,14907
71,TEKIRDAG,12607
72,TUNCELI,730
