,Region,Number
0,ADANA,256.435
1,ADIYAMAN,23.204
2,AFYONKARAHISAR,12.531
6,ANKARA,100.577
8,ARDAHAN,124.0
9,ARTVIN,72.0
13,BATMAN,16.029
14,BAYBURT,131.0
18,BOLU,4.512
19,BURDUR,9.078
20,BURSA,184.298
24,DENIZLI,14.066
25,DIYARBAKIR,24.552
28,ELAZIG,13.244
32,GAZIANTEP,462.697
36,HATAY,433.875
37,IGDIR,79.0
39,ISTANBUL,542.045
40,IZMIR,149.807
41,KAHRAMANMARAS,95.938
46,KAYSERI,83.474
47,KILIS,107.468
51,KOCAELI,56.604
52,KONYA,123.601
54,MALATYA,32.024
55,MANISA,14.238
56,MARDIN,91.793
57,MERSIN,242.753
58,MUGLA,11.688
60,NEVSEHIR,13.763
63,OSMANIYE,42.768
65,SAKARYA,15.744
67,SANLIURFA,430.124
70,SIRNAK,14.907
72,TEKIRDAG,12.607
75,TUNCELI,73.0
