Tick;Step;DateTime;Free;X;Y;ID
0;0;2021-01-01T11:00:00.0000000+01:00;True;12;18;fffefee4-2594-4a38-9c78-277f9ef8ecc5
0;0;2021-01-01T11:00:00.0000000+01:00;True;6;5;8e534aff-561d-4ece-ac83-d88c46cb1949
0;0;2021-01-01T11:00:00.0000000+01:00;True;34;22;58bf03ae-b214-47b2-b0bd-32f371b0c3b7
0;0;2021-01-01T11:00:00.0000000+01:00;True;34;27;8225852a-214b-4065-8667-87b98ff36614
0;0;2021-01-01T11:00:00.0000000+01:00;True;26;35;622faf90-8367-4472-a6fd-b34ccf5d7573
1;1;2021-01-01T11:00:01.0000000+01:00;True;12;18;fffefee4-2594-4a38-9c78-277f9ef8ecc5
1;1;2021-01-01T11:00:01.0000000+01:00;True;6;5;8e534aff-561d-4ece-ac83-d88c46cb1949
1;1;2021-01-01T11:00:01.0000000+01:00;True;34;22;58bf03ae-b214-47b2-b0bd-32f371b0c3b7
1;1;2021-01-01T11:00:01.0000000+01:00;True;34;27;8225852a-214b-4065-8667-87b98ff36614
1;1;2021-01-01T11:00:01.0000000+01:00;True;26;35;622faf90-8367-4472-a6fd-b34ccf5d7573
2;2;2021-01-01T11:00:02.0000000+01:00;True;12;18;fffefee4-2594-4a38-9c78-277f9ef8ecc5
2;2;2021-01-01T11:00:02.0000000+01:00;True;6;5;8e534aff-561d-4ece-ac83-d88c46cb1949
2;2;2021-01-01T11:00:02.0000000+01:00;True;34;22;58bf03ae-b214-47b2-b0bd-32f371b0c3b7
2;2;2021-01-01T11:00:02.0000000+01:00;True;34;27;8225852a-214b-4065-8667-87b98ff36614
2;2;2021-01-01T11:00:02.0000000+01:00;True;26;35;622faf90-8367-4472-a6fd-b34ccf5d7573
3;3;2021-01-01T11:00:03.0000000+01:00;True;12;18;fffefee4-2594-4a38-9c78-277f9ef8ecc5
3;3;2021-01-01T11:00:03.0000000+01:00;True;6;5;8e534aff-561d-4ece-ac83-d88c46cb1949
3;3;2021-01-01T11:00:03.0000000+01:00;True;34;22;58bf03ae-b214-47b2-b0bd-32f371b0c3b7
