,Region,IDPs
0,A'rima,190
1,A'zaz,494
2,Afrin,145
3,Aghtrin,90
4,Al Bab,190
5,Al-Haffa,35
6,Al-Hasakeh,271
7,Al-Malikeyyeh,232
8,Al-Qardaha,30
9,Al-Qusayr,45
10,Ar-Ra'ee,108
11,Ar-Raqqa,65
12,Ariha,312
13,Armanaz,718
14,As-Sweida,40
15,Atareb,712
16,Az-Zabdani,165
17,Babella,25
18,Badama,364
19,Banyas,65
20,Bariqiyeh,15
21,Basira,13
22,Beit Yashout,20
23,Bennsh,349
24,Da'el,19
25,Dalyeh,25
26,Dana,6169
27,Dar'a,21
28,Daret Azza,730
29,Darkosh,326
30,Dhameer,114
31,Dreikish,35
32,Duma,50
33,Ehsem,87
34,Ein El-Bayda,30
35,Ein Elsharqiyeh,15
36,Ein Shaqaq,15
37,Ghandorah,125
38,Hama,110
39,Hamin,10
40,Hanadi,10
41,Haran Al'awameed,91
42,Harf Elmseitra,15
43,Harim,105
44,Homs,110
45,Idleb,916
46,Izra',15
47,Jablah,35
48,Jandairis,232
49,Janudiyeh,146
50,Jarablus,643
51,Jisr-Ash-Shugur,357
52,Jneinet Raslan,12
53,Jobet Berghal,30
54,Kafr Takharim,5
55,Khan Arnaba,50
56,Kisreh,23
57,Kisweh,68
58,Lattakia,660
59,Maaret Tamsrin,4801
60,Mashnaf,450
61,Mashta Elhiu,10
62,Mazra'a,52
63,Menbij,200
64,Mhambal,154
65,Mzeireb,41
66,Nashabiyeh,97
67,Qadmous,40
68,Qatana,8
69,Qourqeena,260
70,Qteilbiyyeh,35
71,Raju,327
72,Ras El-Khashufeh,17
73,Rawda,13
74,Safita,20
75,Safsafa,15
76,Salanfa,10
77,Salqin,219
78,Sarmin,110
79,Sheikh Badr,15
80,Sheikh Miskine,19
81,Sibbeh,20
82,Sisniyyeh,10
83,Soda Khawabi,30
84,Suran,12
85,Taleen,15
86,Tartous,292
87,Teftnaz,79
88,Tell Abiad,26
89,Ziyara,84
