Region;SUB-DISTRICT Nahya Arabic;Total_population
Damascus;????? ????;1552161
Jebel Saman; ???? ??? ????? ;2181061
Atareb; ????? ;76873
Tall Ed-daman; ?? ???? ;48108
Haritan; ?????? ;67745
Daret Azza; ???? ??? ;38766
Zarbah; ?????? ;58816
Hadher; ?????? ;19382
Al Bab; ???? ????? ;112384
Tadaf; ???? ;41786
Dayr Hafir; ??? ???? ;34366
Ar-Ra'ee; ?????? ;15378
Eastern Kwaires; ????? ???? ;26729
Rasm Haram El-Imam; ??? ???? ?????? ;30029
A'rima; ????? ;32041
Afrin; ???? ????? ;64758
Bulbul; ???? ;12573
Jandairis; ?????? ;32947
Raju; ???? ;21955
Sharan; ???? ;13632
Sheikh El-Hadid; ??? ?????? ;13871
Ma'btali; ?????? ;12359
A'zaz; ???? ????? ;47570
Aghtrin; ?????? ;39132
Tall Refaat; ?? ???? ;43781
Mare'; ???? ;39306
Nabul; ??? ;51948
Suran; ????? ;30032
Menbij; ???? ???? ;204766
Abu Qalqal; ??? ???? ;46178
Al-Khafsa; ???? ;92368
Maskana; ????? ;64831
Ain al Arab; ???? ??? ????? ;78130
Lower Shyookh; ???? ?????? ;43861
Sarin; ???? ;70522
As-Safira; ???? ??????? ;132658
Khanaser; ????? ;18034
Banan; ???? ;17193
Hajeb; ?????? ;10408
Jarablus; ???? ?????? ;41575
Ghandorah; ?????? ;17314
Kisweh; ?????? ;112095
Babella; ????? ;341625
Jaramana;  ?????? ;114363
Maliha; ??????? ;56652
Kafr Batna; ??? ???? ;123474
Arbin;  ????? ;89595
Qudsiya; ????? ;64412
Duma; ???? ???? ;181934
Harasta; ????? ;88816
Sabe Byar; ????? ???? ;395
Dhameer; ?????? ;26192
Nashabiyeh; ???????? ;76814
Ghizlaniyyeh; ????????? ;36715
Haran Al'awameed; ???? ???????? ;22853
Al Qutayfah; ???? ??????? ;44820
Jirud; ????? ;31821
Ma'loula; ?????? ;12192
Raheiba;  ??????? ;30450
At Tall; ???? ???? ;85933
Sidnaya; ??????? ;18846
Rankus; ????? ;11158
Yabroud; ???? ????? ;39604
Esal El-Ward; ???? ????? ;8766
An Nabk; ????? ;50747
Deir Attiyeh; ??? ???? ;29254
Az-Zabdani; ???? ???????? ;40613
Dimas; ??????? ;21978
Ein Elfijeh; ??? ?????? ;19584
Madaya; ????? ;13692
Sarghaya; ?????? ;9475
Qatana; ???? ???? ;146344
Bait Jan; ??? ?? ;15668
Sa'sa'; ???? ;45233
Markaz Darayya;  ???? ????? ;131501
Sahnaya; ?????? ;44512
Hajar Aswad;  ????? ?????? ;84948
Homs;  ???? ??? ;750501
Taldu;  ???? ;71503
Kherbet Tin Noor;  ???? ??? ??? ;52879
Ein Elniser;  ??? ????? ;30267
Farqalas;  ??????? ;13506
Raqama;  ??????? ;20602
Qaryatein;  ???????? ;16795
Mahin;  ???? ;13511
Hasyaa;  ????? ;15195
Sadad;  ??? ;4092
Qabu;  ????? ;18636
Shin;  ??? ;27951
Al-Qusayr;  ???? ?????? ;107470
Tall Kalakh;  ???? ????? ;62069
