Tick;Step;DateTime;ID
0;0;2021-01-01T11:00:00.0000000+01:00;567b18eb-d06d-47d6-bc7c-49ee2db1a4a2
0;0;2021-01-01T11:00:00.0000000+01:00;cd38724d-339d-4edd-b0ba-92f9e0cb004a
0;0;2021-01-01T11:00:00.0000000+01:00;8fa537be-2e95-4da2-ba0e-08d74419f84a
1;1;2021-01-01T11:00:01.0000000+01:00;567b18eb-d06d-47d6-bc7c-49ee2db1a4a2
1;1;2021-01-01T11:00:01.0000000+01:00;cd38724d-339d-4edd-b0ba-92f9e0cb004a
1;1;2021-01-01T11:00:01.0000000+01:00;8fa537be-2e95-4da2-ba0e-08d74419f84a
2;2;2021-01-01T11:00:02.0000000+01:00;567b18eb-d06d-47d6-bc7c-49ee2db1a4a2
2;2;2021-01-01T11:00:02.0000000+01:00;cd38724d-339d-4edd-b0ba-92f9e0cb004a
2;2;2021-01-01T11:00:02.0000000+01:00;8fa537be-2e95-4da2-ba0e-08d74419f84a
3;3;2021-01-01T11:00:03.0000000+01:00;567b18eb-d06d-47d6-bc7c-49ee2db1a4a2
3;3;2021-01-01T11:00:03.0000000+01:00;cd38724d-339d-4edd-b0ba-92f9e0cb004a
3;3;2021-01-01T11:00:03.0000000+01:00;8fa537be-2e95-4da2-ba0e-08d74419f84a
4;4;2021-01-01T11:00:04.0000000+01:00;567b18eb-d06d-47d6-bc7c-49ee2db1a4a2
4;4;2021-01-01T11:00:04.0000000+01:00;cd38724d-339d-4edd-b0ba-92f9e0cb004a
4;4;2021-01-01T11:00:04.0000000+01:00;8fa537be-2e95-4da2-ba0e-08d74419f84a
5;5;2021-01-01T11:00:05.0000000+01:00;567b18eb-d06d-47d6-bc7c-49ee2db1a4a2
5;5;2021-01-01T11:00:05.0000000+01:00;cd38724d-339d-4edd-b0ba-92f9e0cb004a
5;5;2021-01-01T11:00:05.0000000+01:00;8fa537be-2e95-4da2-ba0e-08d74419f84a
6;6;2021-01-01T11:00:06.0000000+01:00;567b18eb-d06d-47d6-bc7c-49ee2db1a4a2
6;6;2021-01-01T11:00:06.0000000+01:00;cd38724d-339d-4edd-b0ba-92f9e0cb004a
6;6;2021-01-01T11:00:06.0000000+01:00;8fa537be-2e95-4da2-ba0e-08d74419f84a
7;7;2021-01-01T11:00:07.0000000+01:00;567b18eb-d06d-47d6-bc7c-49ee2db1a4a2
7;7;2021-01-01T11:00:07.0000000+01:00;cd38724d-339d-4edd-b0ba-92f9e0cb004a
7;7;2021-01-01T11:00:07.0000000+01:00;8fa537be-2e95-4da2-ba0e-08d74419f84a
