,event_id_cnty,day,month,year,location,latitude,longitude
0,SYR113154,1,5,2023,Al Qahtaniyah,33.1106,35.8375
1,SYR113155,1,5,2023,Ziyara,35.6848,36.3387
2,SYR113157,1,5,2023,Al-Qahera,35.6131,36.3625
3,SYR113159,1,5,2023,Ankawi,35.5967,36.3877
4,SYR113160,1,5,2023,Atareb,36.1379,36.8284
5,SYR113161,1,5,2023,Banin,35.7097,36.6401
6,SYR113162,1,5,2023,Bara,35.686,36.5424
7,SYR113164,1,5,2023,Fleifel,35.5888,36.4562
8,SYR113188,1,5,2023,Ftireh,35.6097,36.4853
9,SYR113189,1,5,2023,Kansafra,35.6599,36.4849
10,SYR113190,1,5,2023,Majdaliya,35.8345,36.6775
11,SYR113191,1,5,2023,Sfuhen,35.6073,36.4645
12,SYR113218,1,5,2023,Al Safira Military Base and Defence Factories,36.0538,37.3379
13,SYR113219,1,5,2023,Aleppo - International Airport,36.1811,37.2183
14,SYR113223,1,5,2023,Deir-ez-Zor,35.3319,40.1461
15,SYR113226,1,5,2023,Jeb Ej-Jarrah,34.8346,37.3238
16,SYR113242,1,5,2023,Kabani,35.7187,36.2331
17,SYR113245,1,5,2023,Sidnaya Military Prison,33.6653,36.329
18,SYR113295,1,5,2023,Naura,34.6807,36.3574
19,SYR113341,1,5,2023,Busraton,36.2028,36.9104
20,SYR113353,1,5,2023,Baadinli,36.6199,36.6887
21,SYR113450,1,5,2023,Al-Bayda,35.7857,36.1033
22,SYR113451,1,5,2023,Regiment 46 - Military Base,36.1239,36.888
23,SYR113452,1,5,2023,Urum al-Sughra,36.1333,36.9
24,SYR113158,1,5,2023,Jinan,35.0844,36.8467
25,SYR113994,1,5,2023,Hreiji,35.3851,40.6149
26,SYR113220,1,5,2023,Nayrab Air Base,36.1789,37.2199
27,SYR114436,1,5,2023,Talbiseh,34.8427,36.7267
28,SYR114740,1,5,2023,Amarnah,36.7421,38.011
29,SYR114750,1,5,2023,Talbiseh,34.8427,36.7267
30,TUR29581,30,4,2023,Bagok Mountain,37.1687,41.4041
31,TUR29647,30,4,2023,Alan,37.2997,44.7564
32,SYR113184,30,4,2023,Harijiyah,35.4334,40.5907
33,SYR113254,30,4,2023,Kansafra,35.6599,36.4849
34,SYR113255,30,4,2023,Bara,35.686,36.5424
35,SYR113268,30,4,2023,Ankawi,35.5967,36.3877
36,SYR113301,30,4,2023,Dana,36.3969,37.4664
37,SYR113321,30,4,2023,Tell Abiad,36.6978,38.9548
38,SYR113322,30,4,2023,Mansura,35.8392,38.7429
39,SYR113328,30,4,2023,Nasib,32.5513,36.1869
40,SYR113355,30,4,2023,Afrin,36.5111,36.8655
41,SYR113369,30,4,2023,Deir-ez-Zor - Al-Joura-Al-Thawra,35.3475,40.1197
42,SYR113375,30,4,2023,Hawayej Bumasaa,35.462,40.0795
43,SYR113459,30,4,2023,Regiment 46 - Military Base,36.1239,36.888
44,SYR113460,30,4,2023,Miznaz,36.0545,36.8548
45,SYR114033,30,4,2023,Hama,35.1337,36.7613
46,SYR114067,30,4,2023,Quneitra,33.1242,35.8264
47,SYR113130,29,4,2023,Upper Maskeh,36.4552,36.6936
48,SYR113138,29,4,2023,Al Qusayr - Military Air Base,34.5672,36.5855
49,SYR113183,29,4,2023,Deir-ez-Zor - Al-Joura-Al-Thawra,35.3475,40.1197
50,SYR113204,29,4,2023,Al Nuqayra,34.6644,36.6675
51,SYR113205,29,4,2023,Al Dab'a,34.5505,36.6133
52,SYR113217,29,4,2023,Aabel,34.6396,36.6749
53,SYR113235,29,4,2023,Ziyara,35.6848,36.3387
54,SYR113236,29,4,2023,Al-Sirmaniyah,35.7225,36.2781
55,SYR113237,29,4,2023,Qarqur,35.7432,36.3211
56,SYR113253,29,4,2023,Al-Mashiak,35.7128,36.3323
57,SYR113309,29,4,2023,Mrat,35.3125,40.2391
58,SYR113334,29,4,2023,Dar'a,32.6241,36.1049
59,SYR113337,29,4,2023,Jandairis,36.3925,36.6896
60,SYR113338,29,4,2023,Al-Heri,34.4092,40.9579
61,SYR113350,29,4,2023,Afrin,36.5111,36.8655
62,SYR113368,29,4,2023,Ain al Arab,36.8891,38.3521
63,SYR113403,29,4,2023,Al Bab,36.3697,37.5149
64,SYR113457,29,4,2023,Regiment 46 - Military Base,36.1239,36.888
65,SYR113458,29,4,2023,Kabani,35.7187,36.2331
66,SYR114050,29,4,2023,Eastern Ghariyeh,32.6782,36.2581
67,TUR29561,28,4,2023,Bagok Mountain,37.1687,41.4041
68,SYR112957,28,4,2023,Jasmi,35.5194,40.6883
69,SYR112980,28,4,2023,Hantutin,35.6804,36.6494
70,SYR112999,28,4,2023,Aqraba,33.1122,36.0073
71,SYR113015,28,4,2023,Damascus,33.5172,36.2767
72,SYR113019,28,4,2023,Hreiji,35.3851,40.6149
73,SYR113029,28,4,2023,Tassil,32.8355,35.9718
74,TUR29580,28,4,2023,Bagok Mountain,37.1687,41.4041
75,SYR112986,28,4,2023,Sarin,36.5859,38.3009
76,SYR113287,28,4,2023,Al-Hasakeh - Ghoweran,36.4868,40.7582
77,SYR113396,28,4,2023,Dashishah,36.0436,41.1644
78,SYR112965,28,4,2023,Tal Samn,36.2287,38.9726
79,SYR113989,28,4,2023,Mrat,35.3125,40.2391
80,TUR29553,27,4,2023,Mus,38.7316,41.4848
81,SYR112948,27,4,2023,Al-Bukamal,34.4546,40.9116
82,SYR112949,27,4,2023,Ma'btali,36.5633,36.7368
83,SYR112976,27,4,2023,Tayib Al-Fal,35.297,40.5624
84,SYR112977,27,4,2023,Regiment 46 - Military Base,36.1239,36.888
85,SYR112978,27,4,2023,Al Fatatra,35.5902,36.4044
86,SYR112991,27,4,2023,Harasta,33.5643,36.3712
87,SYR112995,27,4,2023,As-Sanamayn,33.0711,36.1833
88,SYR113001,27,4,2023,Rukban,33.3258,38.6593
89,SYR113008,27,4,2023,Jdidet Artuz,33.4335,36.1627
90,SYR113014,27,4,2023,Samma al Hneidat,32.7672,36.4168
91,SYR113022,27,4,2023,As-Salamiyeh,35.0113,37.051
92,SYR113028,27,4,2023,Tassil,32.8355,35.9718
93,SYR113066,27,4,2023,Al-Shumaytiyah,35.4705,39.9352
94,SYR113075,27,4,2023,Deir-ez-Zor - Hatla,35.3372,40.1854
95,SYR113086,27,4,2023,Al Wasta,36.1107,36.8401
96,SYR113098,27,4,2023,Ftireh,35.6097,36.4853
97,SYR113099,27,4,2023,Hamimat,34.9068,36.9183
98,SYR113108,27,4,2023,Kansafra,35.6599,36.4849
99,SYR113112,27,4,2023,Sfuhen,35.6073,36.4645
100,SYR113114,27,4,2023,Qasr Shwrak,37.1082,41.0242
101,SYR113115,27,4,2023,Fatsa,36.4005,38.9682
102,SYR112959,27,4,2023,Basira,35.158,40.4277
103,SYR112973,27,4,2023,Yadudeh,32.6689,36.06
104,SYR113065,27,4,2023,Hazimeh,36.1315,38.9659
105,SYR113076,27,4,2023,Homs - Hasaweyyah,34.7566,36.7096
106,SYR113402,27,4,2023,Al Bab,36.3697,37.5149
107,SYR113985,27,4,2023,Qabasin,36.4337,37.5663
108,SYR113281,27,4,2023,Muzan,34.5147,40.9783
109,SYR112947,26,4,2023,Al-Bukamal,34.4546,40.9116
110,SYR112969,26,4,2023,Mhemideh,35.4429,40.0862
111,SYR112996,26,4,2023,Jasim,32.9912,36.0602
112,SYR113006,26,4,2023,Damascus,33.5172,36.2767
113,SYR113027,26,4,2023,Tafas,32.7362,36.0673
114,SYR113069,26,4,2023,Bishri Mountain - Deir-ez-Zor,35.4048,39.4884
115,SYR113070,26,4,2023,Jisr-Ash-Shugur,35.8143,36.3206
116,SYR113080,26,4,2023,Nahshabba,35.7304,36.197
117,SYR113088,26,4,2023,Al-Qahera,35.6131,36.3625
118,SYR113090,26,4,2023,Al-Sirmaniyah,35.7225,36.2781
119,SYR113091,26,4,2023,Ankawi,35.5967,36.3877
120,SYR113092,26,4,2023,Banin,35.7097,36.6401
121,SYR113095,26,4,2023,Blinta,36.2294,36.8851
122,SYR113101,26,4,2023,Kafr Amma,36.1409,36.8735
123,SYR113102,26,4,2023,Kafr Noran,36.078,36.8322
124,SYR113103,26,4,2023,Kafr Noran,36.078,36.8322
125,SYR113105,26,4,2023,Kafr Taal,36.1542,36.8935
126,SYR113109,26,4,2023,Makbas,36.2461,36.8857
127,SYR113110,26,4,2023,Ruwaiha,35.7378,36.695
128,SYR113119,26,4,2023,Maaret Harma,35.5458,36.5442
129,SYR113121,26,4,2023,Regiment 46 - Military Base,36.1239,36.888
130,SYR113071,26,4,2023,Al-Shumaytiyah,35.4705,39.9352
131,SYR113880,26,4,2023,Sheikh al-Hadid,36.5016,36.5992
132,TUR29559,25,4,2023,Caldiran,39.1432,43.9107
