Tick;Step;DateTime;Free;X;Y;ID
0;0;2021-01-01T11:00:00.0000000+01:00;True;14;13;ba7d232b-80c2-4b1e-807c-7f07b51b9354
0;0;2021-01-01T11:00:00.0000000+01:00;True;16;9;d118ab61-ca6f-44f8-a590-41111a74c842
0;0;2021-01-01T11:00:00.0000000+01:00;True;27;18;e575c039-9e79-4601-bad6-dd1e624dd33e
0;0;2021-01-01T11:00:00.0000000+01:00;True;40;9;4b42a5c5-7ff9-4a2f-a827-a982b9f34bee
0;0;2021-01-01T11:00:00.0000000+01:00;True;17;25;973bdaf7-ab21-4ad7-8a1c-8a59b0912bfc
0;0;2021-01-01T11:00:00.0000000+01:00;True;20;13;2695986a-96a4-468c-be65-1f82af7e3859
1;1;2021-01-01T11:00:01.0000000+01:00;True;14;13;ba7d232b-80c2-4b1e-807c-7f07b51b9354
1;1;2021-01-01T11:00:01.0000000+01:00;True;16;9;d118ab61-ca6f-44f8-a590-41111a74c842
1;1;2021-01-01T11:00:01.0000000+01:00;True;27;18;e575c039-9e79-4601-bad6-dd1e624dd33e
1;1;2021-01-01T11:00:01.0000000+01:00;True;40;9;4b42a5c5-7ff9-4a2f-a827-a982b9f34bee
1;1;2021-01-01T11:00:01.0000000+01:00;True;17;25;973bdaf7-ab21-4ad7-8a1c-8a59b0912bfc
1;1;2021-01-01T11:00:01.0000000+01:00;True;20;13;2695986a-96a4-468c-be65-1f82af7e3859
2;2;2021-01-01T11:00:02.0000000+01:00;True;14;13;ba7d232b-80c2-4b1e-807c-7f07b51b9354
2;2;2021-01-01T11:00:02.0000000+01:00;True;16;9;d118ab61-ca6f-44f8-a590-41111a74c842
2;2;2021-01-01T11:00:02.0000000+01:00;True;27;18;e575c039-9e79-4601-bad6-dd1e624dd33e
2;2;2021-01-01T11:00:02.0000000+01:00;True;40;9;4b42a5c5-7ff9-4a2f-a827-a982b9f34bee
2;2;2021-01-01T11:00:02.0000000+01:00;True;17;25;973bdaf7-ab21-4ad7-8a1c-8a59b0912bfc
2;2;2021-01-01T11:00:02.0000000+01:00;True;20;13;2695986a-96a4-468c-be65-1f82af7e3859
3;3;2021-01-01T11:00:03.0000000+01:00;True;14;13;ba7d232b-80c2-4b1e-807c-7f07b51b9354
3;3;2021-01-01T11:00:03.0000000+01:00;True;16;9;d118ab61-ca6f-44f8-a590-41111a74c842
3;3;2021-01-01T11:00:03.0000000+01:00;True;27;18;e575c039-9e79-4601-bad6-dd1e624dd33e
3;3;2021-01-01T11:00:03.0000000+01:00;True;40;9;4b42a5c5-7ff9-4a2f-a827-a982b9f34bee
3;3;2021-01-01T11:00:03.0000000+01:00;True;17;25;973bdaf7-ab21-4ad7-8a1c-8a59b0912bfc
3;3;2021-01-01T11:00:03.0000000+01:00;True;20;13;2695986a-96a4-468c-be65-1f82af7e3859
4;4;2021-01-01T11:00:04.0000000+01:00;True;14;13;ba7d232b-80c2-4b1e-807c-7f07b51b9354
4;4;2021-01-01T11:00:04.0000000+01:00;True;16;9;d118ab61-ca6f-44f8-a590-41111a74c842
4;4;2021-01-01T11:00:04.0000000+01:00;True;27;18;e575c039-9e79-4601-bad6-dd1e624dd33e
4;4;2021-01-01T11:00:04.0000000+01:00;True;40;9;4b42a5c5-7ff9-4a2f-a827-a982b9f34bee
4;4;2021-01-01T11:00:04.0000000+01:00;True;17;25;973bdaf7-ab21-4ad7-8a1c-8a59b0912bfc
4;4;2021-01-01T11:00:04.0000000+01:00;True;20;13;2695986a-96a4-468c-be65-1f82af7e3859
5;5;2021-01-01T11:00:05.0000000+01:00;True;14;13;ba7d232b-80c2-4b1e-807c-7f07b51b9354
5;5;2021-01-01T11:00:05.0000000+01:00;True;16;9;d118ab61-ca6f-44f8-a590-41111a74c842
5;5;2021-01-01T11:00:05.0000000+01:00;True;27;18;e575c039-9e79-4601-bad6-dd1e624dd33e
5;5;2021-01-01T11:00:05.0000000+01:00;True;40;9;4b42a5c5-7ff9-4a2f-a827-a982b9f34bee
5;5;2021-01-01T11:00:05.0000000+01:00;True;17;25;973bdaf7-ab21-4ad7-8a1c-8a59b0912bfc
5;5;2021-01-01T11:00:05.0000000+01:00;True;20;13;2695986a-96a4-468c-be65-1f82af7e3859
6;6;2021-01-01T11:00:06.0000000+01:00;True;14;13;ba7d232b-80c2-4b1e-807c-7f07b51b9354
6;6;2021-01-01T11:00:06.0000000+01:00;True;16;9;d118ab61-ca6f-44f8-a590-41111a74c842
6;6;2021-01-01T11:00:06.0000000+01:00;True;27;18;e575c039-9e79-4601-bad6-dd1e624dd33e
6;6;2021-01-01T11:00:06.0000000+01:00;True;40;9;4b42a5c5-7ff9-4a2f-a827-a982b9f34bee
6;6;2021-01-01T11:00:06.0000000+01:00;True;17;25;973bdaf7-ab21-4ad7-8a1c-8a59b0912bfc
6;6;2021-01-01T11:00:06.0000000+01:00;True;20;13;2695986a-96a4-468c-be65-1f82af7e3859
7;7;2021-01-01T11:00:07.0000000+01:00;True;14;13;ba7d232b-80c2-4b1e-807c-7f07b51b9354
7;7;2021-01-01T11:00:07.0000000+01:00;True;16;9;d118ab61-ca6f-44f8-a590-41111a74c842
7;7;2021-01-01T11:00:07.0000000+01:00;True;27;18;e575c039-9e79-4601-bad6-dd1e624dd33e
7;7;2021-01-01T11:00:07.0000000+01:00;True;40;9;4b42a5c5-7ff9-4a2f-a827-a982b9f34bee
