Tick;Step;DateTime;ActionPoints;Alive;Color;Energy;GamePoints;MemberId;RemainingShots;Stance;TeamName;VisibilityRange;VisualRange;WasTaggedLastTick;XCor;XSpawn;YCor;YSpawn;X;Y;ID
0;0;2021-01-01T11:00:00.0000000+01:00;10;True;Red;100;0;2;5;Standing;ViviMind;10;10;False;1;1;2;2;1;2;20b2fce2-682b-4e3e-8c47-5e167a664e46
0;0;2021-01-01T11:00:00.0000000+01:00;10;True;Yellow;100;0;4;5;Standing;ViviMindCopy;10;10;False;25;25;49;49;25;49;26cf382b-e7ee-4fb2-aef0-c7d9606ef930
0;0;2021-01-01T11:00:00.0000000+01:00;10;True;Red;100;0;1;5;Standing;ViviMind;10;10;False;1;1;1;1;1;1;01c1a908-a3a5-43dd-8629-5633e8b0a088
0;0;2021-01-01T11:00:00.0000000+01:00;10;True;Yellow;100;0;6;5;Standing;ViviMindCopy;10;10;False;26;26;50;50;26;50;4f1f18dd-12e8-44ad-b11f-2f1ee4778e44
0;0;2021-01-01T11:00:00.0000000+01:00;10;True;Yellow;100;0;5;5;Standing;ViviMindCopy;10;10;False;25;25;50;50;25;50;00339bfd-005a-468d-9db2-94ced9d4fd90
0;0;2021-01-01T11:00:00.0000000+01:00;10;True;Blue;100;0;7;5;Standing;;10;10;False;50;50;2;2;50;2;fab4dae7-0689-4618-9037-0fa2e3eb1f2f
0;0;2021-01-01T11:00:00.0000000+01:00;10;True;Red;100;0;3;5;Standing;ViviMind;10;10;False;2;2;1;1;2;1;44a9575a-9e7d-4429-b517-fed6e9633e20
0;0;2021-01-01T11:00:00.0000000+01:00;10;True;Blue;100;0;8;5;Standing;;10;10;False;49;49;1;1;49;1;c9b899b6-52d5-490b-b306-68371bff0571
0;0;2021-01-01T11:00:00.0000000+01:00;10;True;Blue;100;0;9;5;Standing;;10;10;False;50;50;1;1;50;1;9f31fb40-ed13-470e-a141-ae895d3d15a9
1;1;2021-01-01T11:00:01.0000000+01:00;9;True;Red;100;0;2;5;Standing;ViviMind;10;10;False;1;1;2;2;1;2;20b2fce2-682b-4e3e-8c47-5e167a664e46
1;1;2021-01-01T11:00:01.0000000+01:00;9;True;Yellow;100;0;4;5;Standing;ViviMindCopy;10;10;False;25;25;49;49;25;49;26cf382b-e7ee-4fb2-aef0-c7d9606ef930
1;1;2021-01-01T11:00:01.0000000+01:00;9;True;Red;100;0;1;5;Standing;ViviMind;10;10;False;2;1;1;1;2;1;01c1a908-a3a5-43dd-8629-5633e8b0a088
1;1;2021-01-01T11:00:01.0000000+01:00;9;True;Yellow;100;0;6;5;Standing;ViviMindCopy;10;10;False;26;26;50;50;26;50;4f1f18dd-12e8-44ad-b11f-2f1ee4778e44
1;1;2021-01-01T11:00:01.0000000+01:00;9;True;Yellow;100;0;5;5;Standing;ViviMindCopy;10;10;False;25;25;50;50;25;50;00339bfd-005a-468d-9db2-94ced9d4fd90
1;1;2021-01-01T11:00:01.0000000+01:00;10;True;Blue;100;0;7;5;Standing;;10;10;False;50;50;2;2;50;2;fab4dae7-0689-4618-9037-0fa2e3eb1f2f
1;1;2021-01-01T11:00:01.0000000+01:00;9;True;Red;100;0;3;5;Standing;ViviMind;10;10;False;3;2;1;1;3;1;44a9575a-9e7d-4429-b517-fed6e9633e20
1;1;2021-01-01T11:00:01.0000000+01:00;10;True;Blue;100;0;8;5;Standing;;10;10;False;49;49;1;1;49;1;c9b899b6-52d5-490b-b306-68371bff0571
1;1;2021-01-01T11:00:01.0000000+01:00;10;True;Blue;100;0;9;5;Standing;;10;10;False;50;50;1;1;50;1;9f31fb40-ed13-470e-a141-ae895d3d15a9
2;2;2021-01-01T11:00:02.0000000+01:00;9;True;Red;100;0;2;5;Standing;ViviMind;10;10;False;2;1;1;2;2;1;20b2fce2-682b-4e3e-8c47-5e167a664e46
2;2;2021-01-01T11:00:02.0000000+01:00;10;True;Yellow;100;0;4;5;Standing;ViviMindCopy;10;10;False;25;25;49;49;25;49;26cf382b-e7ee-4fb2-aef0-c7d9606ef930
2;2;2021-01-01T11:00:02.0000000+01:00;9;True;Red;100;0;1;5;Standing;ViviMind;10;10;False;3;1;1;1;3;1;01c1a908-a3a5-43dd-8629-5633e8b0a088
2;2;2021-01-01T11:00:02.0000000+01:00;9;True;Yellow;100;0;6;5;Standing;ViviMindCopy;10;10;False;25;26;49;50;25;49;4f1f18dd-12e8-44ad-b11f-2f1ee4778e44
2;2;2021-01-01T11:00:02.0000000+01:00;10;True;Yellow;100;0;5;5;Standing;ViviMindCopy;10;10;False;25;25;50;50;25;50;00339bfd-005a-468d-9db2-94ced9d4fd90
2;2;2021-01-01T11:00:02.0000000+01:00;10;True;Blue;100;0;7;5;Standing;;10;10;False;50;50;2;2;50;2;fab4dae7-0689-4618-9037-0fa2e3eb1f2f
2;2;2021-01-01T11:00:02.0000000+01:00;9;True;Red;100;0;3;5;Standing;ViviMind;10;10;False;4;2;2;1;4;2;44a9575a-9e7d-4429-b517-fed6e9633e20
2;2;2021-01-01T11:00:02.0000000+01:00;10;True;Blue;100;0;8;5;Standing;;10;10;False;49;49;1;1;49;1;c9b899b6-52d5-490b-b306-68371bff0571
2;2;2021-01-01T11:00:02.0000000+01:00;10;True;Blue;100;0;9;5;Standing;;10;10;False;50;50;1;1;50;1;9f31fb40-ed13-470e-a141-ae895d3d15a9
3;3;2021-01-01T11:00:03.0000000+01:00;9;True;Red;100;0;2;5;Standing;ViviMind;10;10;False;3;1;1;2;3;1;20b2fce2-682b-4e3e-8c47-5e167a664e46
3;3;2021-01-01T11:00:03.0000000+01:00;10;True;Yellow;100;0;4;5;Standing;ViviMindCopy;10;10;False;25;25;49;49;25;49;26cf382b-e7ee-4fb2-aef0-c7d9606ef930
3;3;2021-01-01T11:00:03.0000000+01:00;9;True;Red;100;0;1;5;Standing;ViviMind;10;10;False;4;1;2;1;4;2;01c1a908-a3a5-43dd-8629-5633e8b0a088
3;3;2021-01-01T11:00:03.0000000+01:00;10;True;Yellow;100;0;6;5;Standing;ViviMindCopy;10;10;False;25;26;49;50;25;49;4f1f18dd-12e8-44ad-b11f-2f1ee4778e44
3;3;2021-01-01T11:00:03.0000000+01:00;10;True;Yellow;100;0;5;5;Standing;ViviMindCopy;10;10;False;25;25;50;50;25;50;00339bfd-005a-468d-9db2-94ced9d4fd90
3;3;2021-01-01T11:00:03.0000000+01:00;10;True;Blue;100;0;7;5;Standing;;10;10;False;50;50;2;2;50;2;fab4dae7-0689-4618-9037-0fa2e3eb1f2f
3;3;2021-01-01T11:00:03.0000000+01:00;9;True;Red;100;0;3;5;Standing;ViviMind;10;10;False;5;2;3;1;5;3;44a9575a-9e7d-4429-b517-fed6e9633e20
3;3;2021-01-01T11:00:03.0000000+01:00;10;True;Blue;100;0;8;5;Standing;;10;10;False;49;49;1;1;49;1;c9b899b6-52d5-490b-b306-68371bff0571
3;3;2021-01-01T11:00:03.0000000+01:00;10;True;Blue;100;0;9;5;Standing;;10;10;False;50;50;1;1;50;1;9f31fb40-ed13-470e-a141-ae895d3d15a9
4;4;2021-01-01T11:00:04.0000000+01:00;9;True;Red;100;0;2;5;Standing;ViviMind;10;10;False;4;1;2;2;4;2;20b2fce2-682b-4e3e-8c47-5e167a664e46
